K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
5,60,0.014,0.000001,0.098753,59,-0.020,0.000000,0.071433,46,-0.015,0.000001,0.134330,77,0.007,0.000001,0.061139,86,-0.017,0.000001,0.155820,43
5,60,0.014,0.000001,0.098753,59,-0.020,0.000000,0.071433,46,-0.015,0.000001,0.134330,77,0.007,0.000001,0.061139,86,-0.017,0.000001,0.155820,43
5,3,9.545,0.000014,55.309988,22,7.644,0.000007,34.123224,26,17.950,0.000017,116.514873,32,11.173,0.000042,131.654203,26,14.166,0.000011,40.201387,22
5,4,0.016,0.000000,0.000000,26,7.628,0.000004,23.449939,32,12.979,0.000037,150.271531,24,10.746,0.000043,133.965128,26,0.901,0.000001,0.038991,40
5,5,11.737,0.000033,139.738189,27,-0.005,0.000000,0.000000,26,10.794,0.000021,161.022382,29,5.351,0.000054,182.707551,34,8.930,0.000017,66.276533,27
5,6,0.022,0.000000,0.036765,46,0.058,0.000001,0.011688,53,12.401,0.000015,169.996571,41,11.157,0.000054,247.756778,28,0.676,0.000001,0.092693,40
5,8,6.246,0.000025,131.138160,32,7.597,0.000015,88.230853,31,-0.018,0.000000,0.021417,73,12.015,0.000031,216.923684,43,0.485,0.000000,0.000000,32
5,9,8.817,0.000015,261.319146,29,0.051,0.000000,0.000000,32,4.858,0.000127,627.104310,34,9.085,0.000085,398.465312,35,0.409,0.000001,0.098425,37
5,10,-0.014,0.000000,0.000000,31,7.606,0.000016,95.561408,29,11.466,0.000081,453.823258,31,12.083,0.000034,323.025286,31,0.143,0.000000,0.042022,41
5,12,8.805,0.000030,260.043997,29,0.013,0.000001,0.046835,47,0.057,0.000000,0.064112,61,9.424,0.000068,563.858903,31,0.256,0.000001,0.045620,37
5,15,9.310,0.000051,374.649729,31,0.021,0.000001,0.011255,60,7.118,0.000045,446.071674,33,9.985,0.000092,598.177687,38,-0.041,0.000000,0.000000,41
5,18,0.023,0.000000,0.018030,69,0.041,0.000000,0.037648,50,7.258,0.000147,605.285452,69,12.622,0.000105,882.855458,32,0.225,0.000000,0.092622,38
5,20,7.115,0.000054,474.530579,33,-0.008,0.000001,0.073544,41,8.971,0.000090,725.508108,31,10.828,0.000083,712.105497,36,0.043,0.000000,0.055837,41
5,24,8.300,0.000079,649.216293,37,-0.004,0.000001,0.077311,44,7.879,0.000092,1025.582281,29,11.550,0.000092,769.198727,48,-0.006,0.000001,0.020225,39
5,30,-0.006,0.000000,0.000000,54,0.005,0.000000,0.065541,49,7.325,0.000127,1056.282138,39,11.332,0.000075,1412.980705,31,0.019,0.000001,0.059717,37
5,4,-209.701,0.000011,2485.273215,32
5,8,-211.624,0.000012,5067.369416,31
5,20,-210.158,0.000002,12819.928604,34
5,4,-209.855,0.000006,2484.422453,34
5,8,-212.248,0.000012,5097.942672,27
5,20,-211.101,0.000005,12840.566593,29
5,4,-209.855,0.000006,2484.422453,34
5,4,-209.855,0.000006,2484.422453,34
5,4,-209.855,0.000006,2484.422453,34
5,4,-209.855,0.000006,2484.422453,34
