N_ANGLES,K,sum,dtheta,cost,iteration
1,3,-13.515,9.889491e-05,23.161,26
2,3,26.365,4.659926e-04,496.146,24
3,3,0.026,0.000000e+00,0.000,34
4,3,-0.060,0.000000e+00,0.000,40
5,3,-0.104,4.182166e-07,0.009,37
6,3,0.002,0.000000e+00,0.000,30
8,3,0.069,2.953844e-07,0.004,61
9,3,14.452,2.890133e-04,2000.029,46
10,3,0.014,8.810626e-07,0.002,63
12,3,-0.009,4.963648e-07,0.001,53
15,3,0.055,4.668064e-07,0.041,68
18,3,0.010,2.524466e-07,0.011,77
20,3,19.529,6.037908e-04,5598.577,43
24,3,0.079,7.959971e-07,0.051,106
30,3,-0.054,3.027003e-05,104.293,131
36,3,12.079,8.043887e-04,2909.200,130
40,3,14.943,8.062106e-04,5499.145,99
45,3,9.122,4.960499e-04,3438.390,120
60,3,9.667,7.261575e-04,3538.871,183
72,3,11.987,7.666816e-04,6858.243,131
90,3,9.927,6.765678e-04,4674.792,200
120,3,11.302,1.282111e-03,9712.222,145
180,3,9.837,3.709254e-02,7763.125,200
360,3,9.136,5.210086e-02,15989.969,200
1,4,18.963,3.537893e-05,74.968,27
2,4,13.722,7.958978e-05,608.027,48
3,4,0.041,3.529741e-07,0.007,50
4,4,-0.377,3.227740e-05,268.263,51
5,4,-0.011,3.522489e-07,0.010,50
6,4,-0.031,3.293055e-07,0.028,65
8,4,-0.023,3.623440e-07,0.010,115
9,4,22.498,1.930894e-04,4036.295,37
10,4,0.087,3.551567e-07,0.050,98
12,4,-0.032,5.622083e-07,0.022,136
15,4,8.587,1.271498e-04,2379.004,69
18,4,7.829,4.381750e-04,1304.313,107
20,4,17.924,2.486714e-04,4479.750,85
24,4,18.457,4.176540e-04,7693.313,61
30,4,17.988,7.008905e-04,7915.484,79
