N_ANGLES,K,sum,dtheta,cost,iteration
1,1,2.091,4.886193e-07,0.001,28
1,2,18.041,1.070917e-04,9.829,32
1,3,0.397,4.139491e-07,0.007,49
1,4,33.456,1.866371e-04,985.771,21
1,5,19.400,3.755911e-05,503.873,32
2,1,21.930,5.705396e-07,0.006,32
2,2,8.555,1.870132e-04,129.590,22
2,3,0.057,0.000000e+00,0.000,20
2,4,1.498,1.635285e-06,1.906,67
2,5,-12.568,3.173744e-04,565.577,43
3,1,-1.760,8.773102e-07,0.008,23
3,2,-0.209,5.595825e-07,0.008,47
3,3,-0.432,3.364856e-06,0.232,48
3,4,-0.020,8.129728e-07,0.145,40
3,5,20.334,1.276014e-03,2043.483,22
4,1,81.193,2.227946e-06,15.539,36
4,2,0.432,6.354529e-07,0.067,36
4,3,-0.197,4.975310e-07,0.087,43
4,4,0.552,3.399240e-06,10.202,61
4,5,8.143,9.649926e-04,2886.413,26
5,1,19.852,1.648963e-06,1.206,32
5,2,0.003,0.000000e+00,0.000,56
5,3,0.020,4.269115e-07,0.012,38
5,4,0.062,6.203312e-07,0.008,55
5,5,21.558,1.191280e-03,3464.850,37
6,1,17.242,8.199486e-07,1.235,22
6,2,15.226,4.753703e-04,1064.541,31
6,3,-0.049,2.890014e-07,0.002,50
6,4,-0.013,0.000000e+00,0.000,56
6,5,14.058,2.792690e-03,4193.918,43
8,1,3.367,7.875980e-07,0.054,28
8,2,0.078,3.088020e-07,0.003,53
8,3,3.264,3.626077e-05,21.879,35
8,4,-0.016,8.099888e-07,0.003,60
8,5,24.097,7.690678e-04,6175.582,22
9,1,13.212,8.657542e-07,0.994,30
9,2,0.032,7.371244e-07,0.001,60
9,3,-0.010,3.028936e-07,0.006,49
9,4,0.063,6.985505e-07,0.013,85
9,5,26.175,1.712652e-03,6354.855,37
10,1,9.201,1.083335e-06,0.629,34
10,2,0.040,2.722843e-07,0.008,72
10,3,9.148,1.375773e-03,1601.204,22
10,4,0.047,6.373811e-07,0.005,107
10,5,25.642,1.437077e-03,7298.250,29
12,1,19.363,6.345213e-07,3.681,19
12,2,-0.052,5.422446e-07,0.007,69
12,3,-2.414,1.986411e-04,219.769,35
12,4,2.886,9.457845e-05,260.254,121
12,5,22.683,7.118001e-04,9042.926,33
15,1,10.573,1.770096e-06,1.242,39
15,2,-0.050,6.297382e-07,0.024,73
15,3,-5.244,7.051561e-04,1269.569,27
15,4,11.960,5.628587e-04,1248.748,160
15,5,23.394,1.401478e-03,11022.769,32
18,1,8.242,7.356323e-07,0.800,37
18,2,8.611,1.156993e-04,254.311,106
18,3,-0.033,8.165607e-07,0.040,41
18,4,9.569,3.636225e-04,1683.553,108
18,5,22.980,2.904050e-03,12873.384,38
20,1,12.637,1.151038e-06,2.106,41
20,2,5.714,4.764521e-05,103.907,111
20,3,6.225,6.165661e-04,4528.966,47
20,4,5.441,2.724981e-04,715.506,152
