file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065002.log,Scan7,360.0,3.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,31.0,303820.5678,44696.253017,85.28860197298334,37.51502,0.0007860171,99.9979047936,1000000.0,0.0,0.0,0.0,4.957,3.967,55.121,9.935,18.342,0.0,0.0,0.0,9.268,5.0,29.995,0.0,5.497,23.967,655.121,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 4.95696616, 3.96722001, 55.12057326, 0.0, 0.0, 0.0, 9.26788463, 9.93506606, 18.34167122]"
run02_u0065019.log,Scan7,360.0,4.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,58.0,365716.503702,80584.130949,77.96541032923604,24.14122,0.002308672,99.99043680476794,1000000.0,0.0,0.0,0.0,3.482,4.17,21.061,5.022,17.133,0.0,0.0,0.0,35.038,5.0,29.995,0.0,4.022,24.17,621.061,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 3.48194123, 4.17012498, 21.06064051, 0.0, 0.0, 0.0, 35.03799014, 5.02178426, 17.13337431]"
run04_u0065024.log,Scan7,360.0,5.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,62.0,429980.893538,62944.869935,85.36100769104588,35.13458,0.001979973,99.99436460319151,1000000.0,0.0,0.0,0.0,2.734,4.235,8.469,6.171,17.128,0.0,0.0,0.0,29.591,5.0,29.995,0.0,3.274,24.235,608.469,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 2.73366164, 4.23519637, 8.46912874, 0.0, 0.0, 0.0, 29.59050188, 6.17087256, 17.12820581]"
run06_u0065028.log,Scan7,360.0,6.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,52.0,498593.731052,50773.291495,89.81670078605447,20.31662,0.0005111939,99.9974838634576,1000000.0,0.0,0.0,0.0,2.125,4.188,24.429,7.704,17.669,0.0,0.0,0.0,28.024,5.0,29.995,0.0,2.665,24.188,624.429,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 2.12457221, 4.18778866, 24.42929139, 0.0, 0.0, 0.0, 28.02413855, 7.70388485, 17.66924822]"
run08_u0065047.log,Scan7,360.0,8.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,50.0,643008.572413,38128.989182,94.07022070655847,23.87808,0.0003594081,99.99849481993527,1000000.0,0.0,0.0,0.0,1.477,4.199,16.575,9.217,17.125,0.0,0.0,0.0,23.778,5.0,29.995,0.0,2.017,24.199,616.575,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 1.47657631, 4.19948444, 16.57521187, 0.0, 0.0, 0.0, 23.77809935, 9.21678082, 17.1253226]"
run10_u0065065.log,Scan7,360.0,9.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,52.0,717533.194335,36573.76259,94.90284729978295,21.63504,0.0008197183,99.99621115422019,1000000.0,0.0,0.0,0.0,1.297,4.233,17.545,10.033,16.733,0.0,0.0,0.0,18.24,5.0,29.995,0.0,1.838,24.233,617.545,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 1.2971555, 4.23313118, 17.54530129, 0.0, 0.0, 0.0, 18.2398833, 10.03308236, 16.73333758]"
run12_u0065085.log,Scan7,360.0,10.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,55.0,792098.997469,33022.222713,95.83104854083692,31.77367,0.001068332,99.99663768145135,1000000.0,0.0,0.0,0.0,1.147,4.166,17.619,10.535,16.531,0.0,0.0,0.0,19.461,5.0,29.995,0.0,1.687,24.166,617.619,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 1.14654502, 4.16593077, 17.61853003, 0.0, 0.0, 0.0, 19.46087637, 10.53511593, 16.53110424]"
run14_u0065087.log,Scan7,360.0,12.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,55.0,941867.85527,29583.650823,96.85904443415585,17.22055,0.000828508,99.9951888412391,1000000.0,0.0,0.0,0.0,0.839,4.2,18.606,11.361,16.183,0.0,0.0,0.0,18.665,5.0,29.995,0.0,1.38,24.2,618.606,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.83920192, 4.19975178, 18.60596613, 0.0, 0.0, 0.0, 18.66505521, 11.36148905, 16.1832279]"
run16_u0065091.log,Scan7,360.0,15.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,36.0,1169584.213554,28214.828602,97.58761889267777,19.96409,0.0007400797,99.9962929454836,1000000.0,0.0,0.0,0.0,0.591,4.193,17.457,11.914,15.833,0.0,0.0,0.0,15.391,5.0,29.995,0.0,1.131,24.193,617.457,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.59075714, 4.19299717, 17.45669454, 0.0, 0.0, 0.0, 15.39050072, 11.91421742, 15.83336635]"
run18_u0065094.log,Scan7,360.0,18.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,45.0,1396152.542574,28012.889296,97.9935652844671,20.79806,0.0009948488,99.9952166269354,1000000.0,0.0,0.0,0.0,0.409,4.212,13.432,12.286,15.4,0.0,0.0,0.0,13.73,5.0,29.995,0.0,0.949,24.212,613.432,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.40874601, 4.21246076, 13.43186228, 0.0, 0.0, 0.0, 13.72996702, 12.28594987, 15.40039276]"
