file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065002.log,Scan2,360.0,3.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,40.0,69946.384681,41165.99713,41.14635471476741,41.44865,0.0006077713,99.99853367648888,1000000.0,0.0,0.0,0.0,-0.623,4.045,40.712,0.512,-1.754,0.0,0.0,0.0,4.385,5.0,29.995,0.0,-0.083,24.045,640.712,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.62344334, 4.04454454, 40.71228435, 0.0, 0.0, 0.0, 4.38485483, 0.51202287, -1.75371284]"
run02_u0065019.log,Scan2,360.0,4.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,45.0,91677.661475,40354.781354,55.98188184042573,19.64289,0.001018426,99.99481529449076,1000000.0,0.0,0.0,0.0,-0.367,4.169,18.7,-1.891,0.899,0.0,0.0,0.0,21.164,5.0,29.995,0.0,0.173,24.169,618.7,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.36735031, 4.16942907, 18.69999935, 0.0, 0.0, 0.0, 21.16427113, -1.89050894, 0.89888403]"
run04_u0065024.log,Scan2,360.0,5.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,95.0,94313.102081,21794.177174,76.89167603109667,17.11452,0.0007057846,99.99587610637049,1000000.0,0.0,0.0,0.0,-0.407,4.214,16.023,-1.591,2.052,0.0,0.0,0.0,32.312,5.0,29.995,0.0,0.134,24.214,616.023,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.40654403, 4.21384584, 16.02269543, 0.0, 0.0, 0.0, 32.3123159, -1.59121626, 2.05192341]"
run06_u0065028.log,Scan2,360.0,6.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,75.0,96577.53064,16389.351778,83.02985003924718,15.74168,0.0002476434,99.99842682991904,1000000.0,0.0,0.0,0.0,-0.475,4.176,24.672,-1.392,2.559,0.0,0.0,0.0,30.502,5.0,29.995,0.0,0.065,24.176,624.672,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.47531158, 4.17551079, 24.67215512, 0.0, 0.0, 0.0, 30.50227629, -1.39233125, 2.55906471]"
run08_u0065047.log,Scan2,360.0,8.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,45.0,108140.100562,11387.230961,89.469927527512,11.87848,0.0007678199,99.99353604249029,1000000.0,0.0,0.0,0.0,-0.416,4.176,16.179,-1.203,2.963,0.0,0.0,0.0,24.239,5.0,29.995,0.0,0.125,24.176,616.179,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.41593741, 4.17557084, 16.17934105, 0.0, 0.0, 0.0, 24.23862877, -1.20267727, 2.96276005]"
run10_u0065064.log,Scan2,360.0,9.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,60.0,114463.784327,10102.975773,91.17364865018106,13.10028,0.0002462691,99.99812012338667,1000000.0,0.0,0.0,0.0,-0.415,4.192,14.926,-1.208,3.013,0.0,0.0,0.0,21.556,5.0,29.995,0.0,0.126,24.192,614.926,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.41460841, 4.19249691, 14.92590257, 0.0, 0.0, 0.0, 21.55636384, -1.20794584, 3.01260162]"
run12_u0065077.log,Scan2,360.0,10.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,43.0,122176.46596,8869.908572,92.74008418699559,13.11772,0.0004047527,99.99691445845772,1000000.0,0.0,0.0,0.0,-0.415,4.173,16.262,-0.928,3.127,0.0,0.0,0.0,20.446,5.0,29.995,0.0,0.125,24.173,616.262,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.41508457, 4.17294715, 16.26224088, 0.0, 0.0, 0.0, 20.44619242, -0.92816951, 3.12716639]"
run14_u0065081.log,Scan2,360.0,12.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,63.0,137637.328247,7293.980014,94.70058006290965,12.86525,0.000499202,99.99611976448185,1000000.0,0.0,0.0,0.0,-0.43,4.2,16.266,-0.933,3.257,0.0,0.0,0.0,15.895,5.0,29.995,0.0,0.111,24.2,616.266,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.4297232, 4.20027877, 16.26583795, 0.0, 0.0, 0.0, 15.89542039, -0.93280548, 3.25723706]"
run16_u0065084.log,Scan2,360.0,15.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,68.0,162946.048864,5683.77164,96.5118690022709,12.95725,0.0004138293,99.99680619498737,1000000.0,0.0,0.0,0.0,-0.421,4.199,15.308,-0.756,3.397,0.0,0.0,0.0,13.958,5.0,29.995,0.0,0.12,24.199,615.308,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.4205516, 4.19928987, 15.30763881, 0.0, 0.0, 0.0, 13.95757372, -0.75601963, 3.39720309]"
run18_u0065087.log,Scan2,360.0,18.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,50.0,189712.261317,4579.299579,97.58618681406774,11.13171,0.0003659606,99.99671244939009,1000000.0,0.0,0.0,0.0,-0.427,4.185,15.669,-0.625,3.469,0.0,0.0,0.0,12.429,5.0,29.995,0.0,0.113,24.185,615.669,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.42708162, 4.18472546, 15.66891098, 0.0, 0.0, 0.0, 12.42858128, -0.62512083, 3.46883565]"
run20_u0065091.log,Scan2,360.0,20.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,65.0,207679.007226,4426.131159,97.86876332946669,11.21827,0.0002031525,99.99818909243584,1000000.0,0.0,0.0,0.0,-0.424,4.197,15.627,-0.557,3.472,0.0,0.0,0.0,11.32,5.0,29.995,0.0,0.117,24.197,615.627,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.42395921, 4.19692964, 15.6270632, 0.0, 0.0, 0.0, 11.32021224, -0.5571479, 3.47197713]"
run22_u0065094.log,Scan2,360.0,24.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,55.0,244666.675226,3820.274772,98.43857984808466,12.11648,0.0006074865,99.99498627901832,1000000.0,0.0,0.0,0.0,-0.416,4.219,14.2,-0.508,3.516,0.0,0.0,0.0,9.469,5.0,29.995,0.0,0.125,24.219,614.2,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.41563455, 4.21868081, 14.20032678, 0.0, 0.0, 0.0, 9.46859355, -0.50775721, 3.51601948]"
run24_u0065096.log,Scan2,360.0,30.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,52.0,300997.298871,3206.511961,98.9347040744129,13.22613,0.0003422635,99.99741221733039,1000000.0,0.0,0.0,0.0,-0.425,4.211,15.601,-0.412,3.559,0.0,0.0,0.0,8.455,5.0,29.995,0.0,0.116,24.211,615.601,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.42499009, 4.21103339, 15.60121757, 0.0, 0.0, 0.0, 8.4550403, -0.41210376, 3.55888771]"
