file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065002.log,Scan1,1434.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,40.0,942303.526454,12330.947643,98.6914038527052,3.306532,0.0007828046,99.97632550962761,1000000.0,0.0,0.0,0.0,-0.094,0.544,-0.691,0.179,3.666,-0.388,-0.22,-1.667,0.596,0.0,24.997,0.0,-0.094,20.544,614.228,-0.388,18.467,1097.334,-1.04,"[0.0, 0.0, -0.09402666, 0.54442823, -0.69130355, -0.38825719, -0.21962723, -1.66673391, 0.59611743, 0.17864372, 3.66623807]"
run01_u0065017.log,Scan2,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,45.0,966359.304108,12501.642937,98.70631525108152,4.067341,0.0007710335,99.9810433032293,1000000.0,0.0,0.0,0.0,-0.79,0.56,-0.565,-0.086,3.672,-1.604,-0.206,-1.385,3.653,5.0,29.995,0.0,-0.79,20.56,614.355,-1.604,18.471,1097.616,-4.5698,"[0.0, 0.0, -0.78999508, 0.56029545, -0.56466047, -1.6043413, -0.20608173, -1.38484724, 3.65289102, -0.08565456, 3.67181227]"
run02_u0065019.log,Scan3,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,57.0,538536.723456,9831.293457,98.17444325915068,9.86657,0.001666801,99.98310658111177,1000000.0,0.0,0.0,0.0,-1.132,-0.521,-0.142,-0.141,3.676,-1.73,-0.179,-2.026,4.513,5.0,29.992,0.0,-1.132,19.479,814.777,-1.73,18.488,1096.975,-4.5698,"[0.0, 0.0, -1.13189953, -0.52097405, -0.14182295, -1.73012343, -0.17902027, -2.02597669, 4.51322084, -0.14123838, 3.67591636]"
run03_u0065023.log,Scan4,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,67.0,529919.613346,9663.913698,98.17634345764624,12.58694,0.00559352,99.95556092267064,1000000.0,0.0,0.0,0.0,-1.367,0.044,-7.239,0.091,3.644,-2.042,0.595,-11.706,3.832,-10.0,29.997,0.0,-1.367,20.044,807.68,3.274,34.251,1087.295,-4.5698,"[0.0, 0.0, -1.36681232, 0.04441878, -7.23850173, -2.04236743, 0.59481067, -11.70617156, 3.83242684, 0.09089254, 3.64387681]"
run04_u0065024.log,Scan5,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,44.0,772015.182315,10747.805838,98.60782455005986,3.613896,0.004510326,99.87519491429748,1000000.0,0.0,0.0,0.0,-1.47,0.27,-0.747,0.023,3.665,-2.559,-0.129,-1.416,4.472,-10.0,29.997,0.0,-1.47,20.27,614.172,2.757,33.527,997.585,-4.5698,"[0.0, 0.0, -1.46986816, 0.27013309, -0.7470505, -2.55921542, -0.12879667, -1.41611725, 4.4720514, 0.02253599, 3.66527432]"
run05_u0065027.log,Scan6,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,45.0,776286.372827,10484.746817,98.64937126503744,3.758434,0.001613225,99.95707720289887,1000000.0,0.0,0.0,0.0,-0.961,1.249,0.923,-0.077,3.666,-1.76,1.406,1.288,4.454,0.0,29.997,0.0,-0.961,21.249,615.842,17.556,35.062,1000.288,-4.5698,"[0.0, 0.0, -0.96076566, 1.24923229, 0.92253187, -1.76008792, 1.4059271, 1.28762572, 4.45401176, -0.07749796, 3.66607213]"
run06_u0065028.log,Scan7,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,76.0,25264307.495243,354286.915738,98.59767810455637,18.4597,0.003577334,99.98062084432576,1000000.0,0.0,0.0,0.0,-0.435,7.391,11.979,14.214,13.62,-1.003,11.946,22.174,6.078,5.0,29.995,0.0,-0.435,27.391,626.898,-1.003,30.623,1121.175,-4.5698,"[0.0, 0.0, -0.43519374, 7.39073678, 11.9787815, -1.00327137, 11.94608623, 22.17420036, 6.0780738, 14.21358096, 13.6204346]"
run07_u0065030.log,Scan8,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,56.0,14312582.848352,123495.442806,99.13715473919356,38.10549,0.007666967,99.97987962626908,1000000.0,0.0,0.0,0.0,-11.805,3.63,-17.928,14.129,13.864,-16.153,5.373,-24.962,5.281,5.0,29.992,0.0,-11.805,23.63,796.99,-16.153,24.04,1074.039,-4.5698,"[0.0, 0.0, -11.80531572, 3.63003924, -17.92825567, -16.15316007, 5.3734843, -24.96176818, 5.28104215, 14.1289367, 13.86424349]"
run08_u0065047.log,Scan9,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,47.0,14316634.81217,127711.270383,99.10795188912384,101.4903,0.006318459,99.99377432227514,1000000.0,0.0,0.0,0.0,0.072,4.685,-54.811,14.826,13.032,-0.123,6.818,-75.576,6.061,-10.0,29.997,0.0,0.072,24.685,760.108,5.193,40.474,1023.424,-4.5698,"[0.0, 0.0, 0.07213098, 4.68526703, -54.81073696, -0.12337308, 6.81786223, -75.57626225, 6.06087959, 14.82646227, 13.03247458]"
run09_u0065053.log,Scan10,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,92.0,20842688.120758,271930.913264,98.69531745766913,16.49675,0.005911686,99.9641645415006,1000000.0,0.0,0.0,0.0,-2.556,13.07,45.196,14.825,13.0,-4.357,20.625,73.781,5.589,-10.0,29.997,0.0,-2.556,33.07,660.116,0.959,54.281,1072.782,-4.5698,"[0.0, 0.0, -2.55567032, 13.07008815, 45.1964826, -4.35675969, 20.62543539, 73.78086616, 5.58933933, 14.82523492, 13.00039897]"
