file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065002.log,Scan1,1434.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,42.0,3149050.207151,11734.93246,99.6273500996157,5.243868,0.001422031,99.97288202143915,1000000.0,0.0,0.0,0.0,0.124,4.191,0.131,0.184,3.671,0.0,0.0,0.0,0.694,0.0,24.997,0.0,0.124,24.191,615.051,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, 0.12355858, 4.190968, 0.13142571, 0.0, 0.0, 0.0, 0.69446414, 0.18352825, 3.67082598]"
run01_u0065047.log,Scan2,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,50.0,3181798.125429,11795.532386,99.62928093106443,5.347413,0.001417642,99.97348919935676,1000000.0,0.0,0.0,0.0,0.108,4.211,0.22,-0.082,3.675,0.0,0.0,0.0,3.787,5.0,29.995,0.0,0.108,24.211,615.14,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.10769828, 4.21136689, 0.22037241, 0.0, 0.0, 0.0, 3.78726566, -0.08193033, 3.67538588]"
run02_u0065089.log,Scan3,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,69.0,1880984.761819,9062.081544,99.51822674335563,5.662064,0.001127873,99.98008017924205,1000000.0,0.0,0.0,0.0,0.147,4.3,1.509,-0.123,3.685,0.0,0.0,0.0,4.822,5.0,29.992,0.0,0.147,24.3,816.428,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, 0.14713842, 4.29966149, 1.50917425, 0.0, 0.0, 0.0, 4.82221873, -0.1226055, 3.6854663]"
run03_u0065091.log,Scan4,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,43.0,1872852.347887,9429.683889,99.49650681754817,5.510703,0.003181571,99.94226560567681,1000000.0,0.0,0.0,0.0,0.118,4.303,0.233,0.074,3.659,0.0,0.0,0.0,3.675,-10.0,29.997,0.0,0.118,24.303,815.151,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, 0.11807324, 4.30262115, 0.23256814, 0.0, 0.0, 0.0, 3.67490622, 0.07387215, 3.65910938]"
run04_u0065092.log,Scan5,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,43.0,2646556.987152,10048.15093,99.62033120848031,5.461619,0.001983308,99.96368644535623,1000000.0,0.0,0.0,0.0,0.109,4.206,0.265,0.044,3.669,0.0,0.0,0.0,4.535,-10.0,29.997,0.0,0.109,24.206,615.184,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.10859735, 4.20553953, 0.26524477, 0.0, 0.0, 0.0, 4.53541735, 0.04383499, 3.6688708]"
run05_u0065094.log,Scan6,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,56.0,2697041.199389,9967.02234,99.63044604797813,5.475327,0.001454941,99.97342732224028,1000000.0,0.0,0.0,0.0,0.122,4.267,0.162,-0.08,3.671,0.0,0.0,0.0,4.658,0.0,29.997,0.0,0.122,24.267,615.081,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.12200235, 4.26727664, 0.16196804, 0.0, 0.0, 0.0, 4.65751205, -0.08035107, 3.67110624]"
run06_u0065095.log,Scan7,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,52.0,27497121.464083,371793.077455,98.6478836414181,16.76255,0.003419813,99.97959849187623,1000000.0,0.0,0.0,0.0,0.12,4.242,-0.14,14.182,13.607,0.0,0.0,0.0,5.804,5.0,29.995,0.0,0.12,24.242,614.78,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.12047733, 4.24206335, -0.13953522, 0.0, 0.0, 0.0, 5.8042847, 14.18198182, 13.60712425]"
run07_u0065096.log,Scan8,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,62.0,15666547.417665,120467.024781,99.23105569102503,15.68257,0.002786329,99.98223295671563,1000000.0,0.0,0.0,0.0,0.187,4.329,0.592,14.362,13.576,0.0,0.0,0.0,6.339,5.0,29.992,0.0,0.187,24.329,815.51,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, 0.18677724, 4.32876402, 0.59175279, 0.0, 0.0, 0.0, 6.33931407, 14.36172559, 13.57621559]"
run08_u0065097.log,Scan9,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,63.0,15670630.406314,120393.897419,99.23172269208462,21.03999,0.004279751,99.97965896846908,1000000.0,0.0,0.0,0.0,0.125,4.325,-0.264,14.831,13.038,0.0,0.0,0.0,6.795,-10.0,29.997,0.0,0.125,24.325,814.654,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, 0.12489632, 4.32500803, -0.26439159, 0.0, 0.0, 0.0, 6.79465805, 14.83132517, 13.03796226]"
run09_u0065099.log,Scan10,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,57.0,22730810.232495,311349.424704,98.6302757291999,16.61743,0.003540846,99.978691975835,1000000.0,0.0,0.0,0.0,0.102,4.258,-0.914,14.877,12.865,0.0,0.0,0.0,5.922,-10.0,29.997,0.0,0.102,24.258,614.005,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.10198588, 4.25801476, -0.9139287, 0.0, 0.0, 0.0, 5.92233703, 14.87732256, 12.86537001]"
