file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065065.log,Scan1,1434.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,42.0,942303.526454,12295.675436,98.69514704224126,3.202667,0.0007720198,99.97589447170125,1000000.0,0.0,0.0,0.0,0.123,0.666,0.154,0.184,3.672,0.0,0.0,0.0,0.629,0.0,24.997,0.0,0.123,20.666,615.073,0.0,18.687,1099.001,-1.04,"[0.0, 0.0, 0.12338772, 0.66598893, 0.15386818, 0.0, 0.0, 0.0, 0.62922323, 0.1837731, 3.67207769]"
run01_u0065077.log,Scan2,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,50.0,966359.304108,12464.507889,98.71015802962592,3.466141,0.0003356217,99.99031713655042,1000000.0,0.0,0.0,0.0,0.107,0.675,0.219,-0.083,3.677,0.0,0.0,0.0,3.76,5.0,29.995,0.0,0.107,20.675,615.138,0.0,18.677,1099.001,-4.5698,"[0.0, 0.0, 0.1074785, 0.67494445, 0.21920035, 0.0, 0.0, 0.0, 3.76037652, -0.08256083, 3.67650807]"
run02_u0065080.log,Scan3,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,55.0,538536.723456,9774.020207,98.18507823491103,3.171363,0.006625246,99.79109152752301,1000000.0,0.0,0.0,0.0,0.145,-0.381,1.506,-0.133,3.69,0.0,0.0,0.0,4.645,5.0,29.992,0.0,0.145,19.619,816.425,0.0,18.667,1099.001,-4.5698,"[0.0, 0.0, 0.14513764, -0.38108807, 1.5064457, 0.0, 0.0, 0.0, 4.64513323, -0.13291687, 3.68985843]"
run03_u0065081.log,Scan4,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,48.0,529919.613346,9827.718311,98.1454322384963,5.529769,0.003325055,99.93986991138327,1000000.0,0.0,0.0,0.0,0.131,-0.373,1.635,0.042,3.689,0.0,0.0,0.0,3.734,-10.0,29.997,0.0,0.131,19.627,816.554,5.316,33.656,1099.001,-4.5698,"[0.0, 0.0, 0.13066686, -0.37287351, 1.63515598, 0.0, 0.0, 0.0, 3.73413619, 0.04161663, 3.68895413]"
run04_u0065083.log,Scan5,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,42.0,772015.182315,10817.720615,98.59876840989558,3.379134,0.003054006,99.90962163678623,1000000.0,0.0,0.0,0.0,0.107,0.345,0.147,0.029,3.664,0.0,0.0,0.0,4.489,-10.0,29.997,0.0,0.107,20.345,615.067,5.316,33.656,999.001,-4.5698,"[0.0, 0.0, 0.10742015, 0.34532316, 0.14735674, 0.0, 0.0, 0.0, 4.48914958, 0.02882744, 3.66436843]"
run05_u0065084.log,Scan6,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,48.0,776286.372827,10703.527545,98.62118827282502,3.491236,0.003018228,99.91354843957842,1000000.0,0.0,0.0,0.0,0.121,0.371,0.284,-0.071,3.665,0.0,0.0,0.0,4.607,0.0,29.997,0.0,0.121,20.371,615.203,19.316,33.656,999.001,-4.5698,"[0.0, 0.0, 0.12097849, 0.37135862, 0.28403233, 0.0, 0.0, 0.0, 4.60682658, -0.07101998, 3.66509543]"
run06_u0065085.log,Scan7,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,50.0,25264307.495243,387556.328944,98.46599266963096,16.1964,0.006472579,99.9600369279593,1000000.0,0.0,0.0,0.0,0.123,0.719,-0.572,14.194,13.578,0.0,0.0,0.0,5.729,5.0,29.995,0.0,0.123,20.719,614.347,0.0,18.677,1099.001,-4.5698,"[0.0, 0.0, 0.12266164, 0.71919904, -0.57200333, 0.0, 0.0, 0.0, 5.72946481, 14.19354706, 13.57760366]"
run07_u0065086.log,Scan8,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,54.0,14312582.848352,127526.000701,99.10899379900754,12.86597,0.006563967,99.94898195005895,1000000.0,0.0,0.0,0.0,0.199,-0.325,-0.383,14.348,13.559,0.0,0.0,0.0,6.447,5.0,29.992,0.0,0.199,19.675,814.536,0.0,18.667,1099.001,-4.5698,"[0.0, 0.0, 0.19894731, -0.32498251, -0.38311855, 0.0, 0.0, 0.0, 6.44707201, 14.3483209, 13.55909752]"
run08_u0065087.log,Scan9,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,52.0,14316634.81217,127568.221895,99.10895106588485,35.04994,0.009421456,99.97311990833651,1000000.0,0.0,0.0,0.0,0.104,-0.398,0.452,14.822,13.025,0.0,0.0,0.0,6.202,-10.0,29.997,0.0,0.104,19.602,815.37,5.316,33.656,1099.001,-4.5698,"[0.0, 0.0, 0.10352781, -0.39834661, 0.45165056, 0.0, 0.0, 0.0, 6.20180208, 14.8221127, 13.02470893]"
run09_u0065089.log,Scan10,360.0,360.0,5.0,-0.541,0.0,14.919,25.318,0.0,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,43.0,20842688.120758,326178.632387,98.43504527584354,15.61838,0.01537564,99.90155419448112,1000000.0,0.0,0.0,0.0,0.149,0.424,-0.621,14.839,12.871,0.0,0.0,0.0,5.596,-10.0,29.997,0.0,0.149,20.424,614.299,5.316,33.656,999.001,-4.5698,"[0.0, 0.0, 0.14911711, 0.4244532, -0.62057012, 0.0, 0.0, 0.0, 5.59613739, 14.83934388, 12.87072278]"
