file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065024.log,Scan1,1434.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,51.0,3346284.673551,11721.349899,99.64972047980122,12.95247,0.0002671922,99.99793713322632,1000000.0,0.0,0.0,0.0,-0.418,4.197,15.073,0.181,3.671,0.0,0.0,0.0,0.752,0.0,24.997,0.0,0.123,24.197,615.073,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.41801724, 4.19699672, 15.07312141, 0.0, 0.0, 0.0, 0.7523563, 0.18120625, 3.67078748]"
run01_u0065027.log,Scan2,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,60.0,3509247.579696,11788.279472,99.66407957249282,12.70701,0.0006925292,99.9945500223892,1000000.0,0.0,0.0,0.0,-0.433,4.207,15.116,-0.075,3.674,0.0,0.0,0.0,3.877,5.0,29.995,0.0,0.108,24.207,615.116,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.43299885, 4.20747466, 15.11598656, 0.0, 0.0, 0.0, 3.87661061, -0.07528578, 3.67378265]"
run02_u0065065.log,Scan3,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,55.0,2007199.947282,9343.407665,99.53450538509368,10.89718,0.001251541,99.98851500112872,1000000.0,0.0,0.0,0.0,-0.391,4.286,16.592,-0.118,3.667,0.0,0.0,0.0,4.569,5.0,29.992,0.0,0.149,24.286,816.592,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, -0.3913646, 4.28638672, 16.59232223, 0.0, 0.0, 0.0, 4.56925114, -0.11846174, 3.66673492]"
run03_u0065077.log,Scan4,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,45.0,2020106.112076,9101.787389,99.54944013413007,8.178373,0.003456426,99.95773699732209,1000000.0,0.0,0.0,0.0,-0.404,4.295,16.457,0.069,3.705,0.0,0.0,0.0,3.88,-10.0,29.997,0.0,0.137,24.295,816.456,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, -0.40397835, 4.29484822, 16.45697061, 0.0, 0.0, 0.0, 3.87998796, 0.06916382, 3.70479961]"
run04_u0065080.log,Scan5,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,47.0,2931037.785826,9994.197847,99.65902186947811,20.47016,0.001163106,99.99431804148087,1000000.0,0.0,0.0,0.0,-0.433,4.207,15.148,0.041,3.67,0.0,0.0,0.0,4.605,-10.0,29.997,0.0,0.107,24.207,615.148,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.43310554, 4.20734005, 15.14846622, 0.0, 0.0, 0.0, 4.60523775, 0.04099061, 3.66980324]"
run05_u0065081.log,Scan6,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,63.0,2951128.897524,9973.2429,99.662053293966,21.25118,0.001089583,99.99487283529668,1000000.0,0.0,0.0,0.0,-0.418,4.273,15.106,-0.083,3.671,0.0,0.0,0.0,4.61,0.0,29.997,0.0,0.123,24.273,615.106,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.41775531, 4.27314261, 15.10578936, 0.0, 0.0, 0.0, 4.60980332, -0.08297548, 3.67103598]"
run06_u0065083.log,Scan7,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,61.0,27767036.334531,371657.801135,98.66151433427265,19.67089,0.004772678,99.9757373560627,1000000.0,0.0,0.0,0.0,-0.418,4.241,14.685,14.216,13.606,0.0,0.0,0.0,5.929,5.0,29.995,0.0,0.122,24.241,614.685,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, -0.4180958, 4.24098184, 14.68526468, 0.0, 0.0, 0.0, 5.92943943, 14.21648075, 13.60623583]"
run07_u0065084.log,Scan8,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,53.0,15771496.860052,120750.181025,99.23437716726272,38.2587,0.007347073,99.98079633390576,1000000.0,0.0,0.0,0.0,-0.361,4.333,14.798,14.323,13.621,0.0,0.0,0.0,6.922,5.0,29.992,0.0,0.18,24.333,814.797,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, -0.36085181, 4.3332524, 14.79764056, 0.0, 0.0, 0.0, 6.92246998, 14.32250016, 13.62135851]"
run08_u0065085.log,Scan9,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,51.0,15793816.392921,120412.786934,99.23759537316154,44.61686,0.008728946,99.9804357680034,1000000.0,0.0,0.0,0.0,-0.374,4.347,16.021,14.875,13.063,0.0,0.0,0.0,6.445,-10.0,29.997,0.0,0.167,24.347,816.021,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, -0.37353345, 4.34727822, 16.02106263, 0.0, 0.0, 0.0, 6.44469113, 14.8753433, 13.06284031]"
run09_u0065086.log,Scan10,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,50.0,22963980.801834,311127.781741,98.64514874652677,28.51864,0.004080177,99.98569294678849,1000000.0,0.0,0.0,0.0,-0.436,4.238,15.273,14.91,12.909,0.0,0.0,0.0,5.893,-10.0,29.997,0.0,0.104,24.238,615.273,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.43608949, 4.23767565, 15.27259727, 0.0, 0.0, 0.0, 5.89303044, 14.90966451, 12.90903234]"
run10_u0065087.log,Scan11,360.0,360.0,5.0,0.0,0.0,0.0,25.318,6.31,40.001,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,45.0,22982897.990858,311214.094027,98.64588837251597,29.65294,0.003373767,99.98862248734864,1000000.0,0.0,0.0,0.0,-0.41,4.312,14.216,14.424,13.337,0.0,0.0,0.0,5.478,0.0,29.997,0.0,0.13,24.312,614.216,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, -0.41045013, 4.3115786, 14.21582609, 0.0, 0.0, 0.0, 5.47838755, 14.42365778, 13.33667847]"
