file,scenario,projections,used,K,final_iteration_header,final_iter_line_iter,cost_before,cost_after,ddelta,lambda,dSx,dSy,dSz,dOx,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,dOy,src_y,obj_y,det_y,src_z,obj_x,obj_z,det_x,det_z,obj_rotY_deg_after_calib,final_dSx,final_dSy,final_dOx,final_dOy,final_dOz,final_dDx,final_dDy,final_dDz,final_alpha,final_offset_x,final_offset_z,final_estimated_delta_array
run00_u0065003.log,Scan1,1434,360,5,38,38,11726.397107,11729.584902,0.0008641071,1000000.0,0.0,0.0,0.0,-0.418,15.064,0.228,3.669,0.0,0.0,0.0,0.729,0.0,5.798,24.997,25.798,24.997,0.0,0.123,615.064,0.0,1099.001,-1.04,0.0,0.0,-0.417608,5.797657,15.064102,0.0,0.0,0.0,0.7287837,0.22802,3.669423,"[0.0, 0.0, -0.41760816, 5.79765727, 15.06410209, 0.0, 0.0, 0.0, 0.72878368, 0.22802009, 3.66942344]"
run01_u0065017.log,Scan2,360,360,5,55,55,13325.196935,13325.776856,0.0009002165,1000000.0,0.0,0.0,0.0,-0.432,15.149,0.161,3.67,0.0,0.0,0.0,3.773,5.0,10.183,29.995,30.183,24.987,0.0,0.109,615.149,0.0,1099.001,-4.5698,0.0,0.0,-0.431835,10.182506,15.149226,0.0,0.0,0.0,3.772897,0.161487,3.669921,"[0.0, 0.0, -0.43183495, 10.18250612, 15.14922594, 0.0, 0.0, 0.0, 3.77289695, 0.16148652, 3.66992146]"
run02_u0065019.log,Scan3,360,360,5,65,65,9967.997456,9973.056681,0.00195488,1000000.0,0.0,0.0,0.0,-0.402,16.05,0.181,3.697,0.0,0.0,0.0,4.641,5.0,8.232,29.992,28.232,24.977,0.0,0.138,816.049,0.0,1099.001,-4.5698,0.0,0.0,-0.402415,8.232472,16.049948,0.0,0.0,0.0,4.640959,0.180515,3.697495,"[0.0, 0.0, -0.40241458, 8.23247227, 16.04994813, 0.0, 0.0, 0.0, 4.64095872, 0.18051523, 3.69749455]"
run03_u0065023.log,Scan4,360,360,5,53,53,13747.202347,13829.622971,0.006337621,1000000.0,0.0,0.0,0.0,-0.443,16.617,0.282,3.662,0.0,0.0,0.0,3.668,-10.0,30.513,29.997,50.513,39.966,0.0,0.098,816.616,5.316,1099.001,-4.5698,0.0,0.0,-0.44264,30.51255,16.616778,0.0,0.0,0.0,3.667958,0.282107,3.662496,"[0.0, 0.0, -0.44263974, 30.51255036, 16.61677841, 0.0, 0.0, 0.0, 3.66795759, 0.28210737, 3.66249649]"
run04_u0065024.log,Scan5,360,360,5,40,40,16862.0038,16872.900167,0.001017259,1000000.0,0.0,0.0,0.0,-0.435,15.17,0.324,3.65,0.0,0.0,0.0,4.46,-10.0,28.056,29.997,48.056,39.966,0.0,0.106,615.17,5.316,999.001,-4.5698,0.0,0.0,-0.434698,28.055942,15.170184,0.0,0.0,0.0,4.45973,0.323635,3.650253,"[0.0, 0.0, -0.43469796, 28.05594228, 15.17018371, 0.0, 0.0, 0.0, 4.45973011, 0.3236347, 3.65025262]"
run05_u0065027.log,Scan6,360,360,5,45,45,16513.183355,16513.801751,0.001258407,1000000.0,0.0,0.0,0.0,-0.421,15.09,0.212,3.659,0.0,0.0,0.0,4.557,0.0,27.992,29.997,47.992,39.966,0.0,0.119,615.09,19.316,999.001,-4.5698,0.0,0.0,-0.421151,27.991809,15.089732,0.0,0.0,0.0,4.556932,0.211702,3.658787,"[0.0, 0.0, -0.4211508, 27.991809, 15.08973235, 0.0, 0.0, 0.0, 4.55693202, 0.21170215, 3.65878721]"
run06_u0065028.log,Scan7,360,360,5,58,58,352985.857469,353006.322181,0.005400178,1000000.0,0.0,0.0,0.0,-0.422,14.83,15.524,12.09,0.0,0.0,0.0,5.817,5.0,10.154,29.995,30.154,24.987,0.0,0.119,614.83,0.0,1099.001,-4.5698,0.0,0.0,-0.421837,10.153775,14.829931,0.0,0.0,0.0,5.817194,15.523747,12.089551,"[0.0, 0.0, -0.4218367, 10.15377492, 14.8299307, 0.0, 0.0, 0.0, 5.81719418, 15.52374685, 12.08955067]"
run07_u0065030.log,Scan8,360,360,5,68,68,113158.345128,113261.43331,0.006010542,1000000.0,0.0,0.0,0.0,-0.37,15.727,15.698,12.022,0.0,0.0,0.0,5.992,5.0,8.212,29.992,28.212,24.977,0.0,0.171,815.726,0.0,1099.001,-4.5698,0.0,0.0,-0.369726,8.212418,15.726642,0.0,0.0,0.0,5.992371,15.697501,12.022118,"[0.0, 0.0, -0.36972646, 8.21241758, 15.72664242, 0.0, 0.0, 0.0, 5.99237126, 15.69750125, 12.02211763]"
run08_u0065047.log,Scan9,360,360,5,48,48,149931.60368,150051.077987,0.01184728,1000000.0,0.0,0.0,0.0,-0.412,15.231,15.934,11.692,0.0,0.0,0.0,5.079,-10.0,30.45,29.997,50.45,39.966,0.0,0.128,815.23,5.316,1099.001,-4.5698,0.0,0.0,-0.412185,30.44968,15.230613,0.0,0.0,0.0,5.07911,15.934174,11.692432,"[0.0, 0.0, -0.41218469, 30.44968006, 15.23061253, 0.0, 0.0, 0.0, 5.07910991, 15.93417391, 11.6924319]"
run09_u0065064.log,Scan10,360,360,5,52,52,366851.93642,366894.691378,0.005305163,1000000.0,0.0,0.0,0.0,-0.4,15.028,16.011,11.391,0.0,0.0,0.0,5.508,-10.0,27.992,29.997,47.992,39.966,0.0,0.14,615.028,5.316,999.001,-4.5698,0.0,0.0,-0.400221,27.991887,15.028448,0.0,0.0,0.0,5.508153,16.010735,11.391483,"[0.0, 0.0, -0.40022112, 27.99188731, 15.02844841, 0.0, 0.0, 0.0, 5.50815341, 16.01073455, 11.39148265]"
