file,scenario,projections,used,K,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,dddelta_initial,ddelta,ddelta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_delta_array
run00_u0065002.log,Scan1,1434.0,360.0,5.0,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,42.0,5202903.891782,11721.529793,99.7747117756391,6.650626,0.0001702972,99.99743938089436,1000000.0,0.0,0.0,0.0,0.122,5.797,0.161,0.23,3.668,0.0,0.0,0.0,0.755,0.0,24.997,0.0,0.122,25.797,615.081,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, 0.12227344, 5.79716621, 0.16128723, 0.0, 0.0, 0.0, 0.75547289, 0.22972144, 3.66839453]"
run01_u0065053.log,Scan2,360.0,360.0,5.0,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,40.0,14231437.445861,13384.623604,99.90595030435318,10.82952,0.0007789639,99.99280703207529,1000000.0,0.0,0.0,0.0,0.108,10.179,0.218,0.153,3.672,0.0,0.0,0.0,3.654,5.0,29.995,0.0,0.108,30.179,615.138,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.10790153, 10.17913823, 0.21833428, 0.0, 0.0, 0.0, 3.65351589, 0.15284943, 3.67184194]"
run02_u0065077.log,Scan3,360.0,360.0,5.0,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,64.0,5505999.758518,10127.553587,99.81606331218354,9.497464,0.002590258,99.97272684581905,1000000.0,0.0,0.0,0.0,0.144,8.239,1.718,0.168,3.713,0.0,0.0,0.0,4.535,5.0,29.992,0.0,0.144,28.239,816.637,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, 0.14428842, 8.2387759, 1.71840141, 0.0, 0.0, 0.0, 4.53536138, 0.16846161, 3.71279955]"
run03_u0065080.log,Scan4,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,44.0,68457058.722883,14363.452673,99.97901830294646,31.77428,0.00573792,99.98194162070705,1000000.0,0.0,0.0,0.0,0.126,30.489,0.788,0.243,3.622,0.0,0.0,0.0,3.275,-10.0,29.997,0.0,0.126,50.489,815.707,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, 0.12640008, 30.48948186, 0.78796231, 0.0, 0.0, 0.0, 3.27545713, 0.2431901, 3.62167729]"
run04_u0065081.log,Scan5,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,45.0,86530754.151161,16811.820451,99.98057127709572,29.05371,0.00113205,99.99610359571979,1000000.0,0.0,0.0,0.0,0.106,28.052,0.189,0.331,3.648,0.0,0.0,0.0,4.585,-10.0,29.997,0.0,0.106,48.052,615.108,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.10587957, 28.05186697, 0.18896069, 0.0, 0.0, 0.0, 4.58457913, 0.33127584, 3.64763302]"
run05_u0065083.log,Scan6,360.0,360.0,5.0,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,48.0,86194617.472265,16510.009344,99.9808456608682,28.95748,0.0007423726,99.99743633562035,1000000.0,0.0,0.0,0.0,0.124,27.993,0.22,0.212,3.667,0.0,0.0,0.0,4.548,0.0,29.997,0.0,0.124,47.993,615.139,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.12367944, 27.99342974, 0.22001737, 0.0, 0.0, 0.0, 4.5480502, 0.21213361, 3.66742859]"
run06_u0065084.log,Scan7,360.0,360.0,5.0,5.0,29.995,0.0,0.541,20.0,600.0,-25.318,18.677,1059.0,-4.5698,61.0,38448546.128074,353101.390199,99.08162615818345,19.23862,0.002703456,99.98594776548423,1000000.0,0.0,0.0,0.0,0.122,10.153,-0.221,15.481,12.146,0.0,0.0,0.0,5.666,5.0,29.995,0.0,0.122,30.153,614.698,0.0,24.987,1099.001,-4.5698,"[0.0, 0.0, 0.12240926, 10.15326562, -0.22120774, 0.0, 0.0, 0.0, 5.66649769, 15.48094245, 12.14562218]"
run07_u0065085.log,Scan8,360.0,360.0,5.0,5.0,29.992,0.0,0.541,20.0,800.0,-25.318,18.667,1059.0,-4.5698,61.0,19250870.738809,113316.60324,99.41136894648845,21.77472,0.005598552,99.97428875319638,1000000.0,0.0,0.0,0.0,0.171,8.23,1.11,15.722,11.997,0.0,0.0,0.0,6.116,5.0,29.992,0.0,0.171,28.23,816.029,0.0,24.977,1099.001,-4.5698,"[0.0, 0.0, 0.17115148, 8.22975222, 1.1101271, 0.0, 0.0, 0.0, 6.11576429, 15.72185548, 11.99710792]"
run08_u0065086.log,Scan9,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,800.0,-20.002,33.656,1059.0,-4.5698,46.0,82164195.224435,148104.299807,99.81974593750667,36.40454,0.005353243,99.98529512253143,1000000.0,0.0,0.0,0.0,0.131,30.45,0.704,16.336,11.066,0.0,0.0,0.0,7.121,-10.0,29.997,0.0,0.131,50.45,815.623,5.316,39.966,1099.001,-4.5698,"[0.0, 0.0, 0.13071992, 30.45003627, 0.70402446, 0.0, 0.0, 0.0, 7.12054601, 16.33587507, 11.06594891]"
run09_u0065087.log,Scan10,360.0,360.0,5.0,-10.0,29.997,0.0,0.541,20.0,600.0,-20.002,33.656,959.0,-4.5698,42.0,108209332.418863,366575.915686,99.66123447258039,34.47046,0.00149012,99.99567711019813,1000000.0,0.0,0.0,0.0,0.115,28.006,0.243,16.024,11.37,0.0,0.0,0.0,5.656,-10.0,29.997,0.0,0.115,48.006,615.162,5.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.11495565, 28.00613799, 0.24282078, 0.0, 0.0, 0.0, 5.65575544, 16.0241682, 11.37026503]"
run10_u0065089.log,Scan11,360.0,360.0,5.0,0.0,29.997,0.0,0.541,20.0,600.0,-6.002,33.656,959.0,-4.5698,58.0,107872394.617569,365512.731642,99.66116193773411,34.14838,0.004426326,99.98703796197653,1000000.0,0.0,0.0,0.0,0.13,27.929,-0.309,15.604,11.959,0.0,0.0,0.0,5.427,0.0,29.997,0.0,0.13,47.929,614.61,19.316,39.966,999.001,-4.5698,"[0.0, 0.0, 0.12989687, 27.9293751, -0.3088668, 0.0, 0.0, 0.0, 5.42674929, 15.60393156, 11.95922204]"
MEAN,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.12718181818181817,19.592454545454544,0.43827272727272726,0.222833 | 15.833400,3.665000 | 11.707600,0.0,0.0,0.0,4.667090909090909,,,,,,,,,,,
