lambda,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,3,G0,run00_u0065004.log,85.82458108,30.0,11632.883231,0.213674,99.99816318967741,33.46727,2.966075e-06,99.99999113738588,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.66541124,5.12804162,19.17250031,0.0,0.0,0.0,-22.37594664,-8.96245004,5.85105371,0.0,0.0,0.33458876,0.12804162,38.17250031,0.0,0.0,0.0,-32.37594664,-8.96245004,5.85105371
LM_normal,1,3,G1,run01_u0065007.log,33.00162829,33.0,4367.134357,0.05841,99.99866250966366,8.372438,1.083529e-06,99.99998705838132,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.89028134,2.04329185,-2.561475,0.0,0.0,0.0,-6.21799849,-4.25386274,1.93823155,0.0,0.0,0.10971866,0.04329185,12.438525,0.0,0.0,0.0,-14.21799849,-4.25386274,1.93823155
LM_normal,1,3,G2,run02_u0065009.log,27.67354381,35.0,26067.849761,0.215849,99.9991719723645,16.95068,2.247133e-06,99.99998674311,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.89616421,8.84147328,1.70888991,0.0,0.0,0.0,10.52029668,-0.41778355,0.82185777,0.0,0.0,0.10383579,0.84147328,23.70888991,0.0,0.0,0.0,-1.77970351,-0.41778355,0.82185777
LM_normal,1,3,G3,run03_u0065014.log,52.464264730000004,29.0,10757.855043,0.073451,99.99931723378214,56.60233,6.871262e-07,99.99999878604608,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-8.05700156,5.68828382,-67.97969614,0.0,0.0,0.0,20.00862424,1.72620909,-1.4810179,0.0,0.0,-0.05700156,-0.31171618,-42.97969614,0.0,0.0,0.0,5.90862386,1.72620909,-1.4810179
LM_normal,1,3,G4,run04_u0065017.log,19.775126020000002,40.0,19960.981426,0.010397,99.99994791338274,12.69886,1.149191e-06,99.99999095043964,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.98188217,3.02919262,1.68494094,0.0,0.0,0.0,-0.08252076,-0.86692501,0.79342891,0.0,0.0,0.01811783,0.02919262,14.68494094,0.0,0.0,0.0,-3.38252071,-0.86692501,0.79342891
LM_normal,1,4,G0,run35_u0065082.log,85.99311542,32.0,15497.628243,0.137346,99.99911376116495,46.68215,5.503516e-07,99.99999882106628,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.92809044,5.25906399,54.16956838,0.0,0.0,0.0,2.33385938,-1.85724355,2.96918932,0.0,0.0,0.07190956,0.25906399,73.16956838,0.0,0.0,0.0,-7.66614062,-1.85724355,2.96918932
LM_normal,1,4,G1,run36_u0065083.log,16.79672954,41.0,5805.283411,0.736901,99.98730637338733,13.8226,2.930169e-06,99.99997880160751,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.90669289,2.01158726,-11.7724733,0.0,0.0,0.0,-1.51449036,-2.88132726,1.06849085,0.0,0.0,0.09330711,0.01158726,3.2275267,0.0,0.0,0.0,-9.51449036,-2.88132726,1.06849085
LM_normal,1,4,G2,run37_u0065085.log,46.6524709,42.0,34742.345233,8.652702,99.9750946519529,27.08883,9.416989e-06,99.99996523663444,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.76899586,8.86462181,2.64060798,0.0,0.0,0.0,-2.16813851,-4.26891014,2.17918812,0.0,0.0,0.23100414,0.86462181,24.64060798,0.0,0.0,0.0,-14.46813871,-4.26891014,2.17918812
LM_normal,1,4,G3,run38_u0065087.log,121.69133065,33.0,14319.335368,11.084825,99.92258841129755,61.1693,1.003113e-05,99.99998360103842,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.63764739,6.45304201,40.63430933,0.0,0.0,0.0,-23.42704239,-10.26190697,7.45267696,0.0,0.0,0.36235261,0.45304201,65.63430933,0.0,0.0,0.0,-37.52704277,-10.26190697,7.45267696
LM_normal,1,4,G4,run39_u0065091.log,11.507440899999999,35.0,26599.320276,0.313775,99.998820364593,15.1746,1.401161e-06,99.9999907664057,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.94014641,3.01340218,-10.60948587,0.0,0.0,0.0,-3.053925,-1.85643477,0.83331128,0.0,0.0,0.05985359,0.01340218,2.39051413,0.0,0.0,0.0,-6.35392495,-1.85643477,0.83331128
LM_normal,1,5,G0,run70_u0065099.log,20.77499665,36.0,19378.970766,0.449056,99.99768276651312,27.02471,2.075379e-06,99.99999232043933,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.92836429,4.96327991,-29.85665631,0.0,0.0,0.0,2.79004914,-2.2915228,0.30851088,0.0,0.0,0.07163571,-0.03672009,-10.85665631,0.0,0.0,0.0,-7.20995086,-2.2915228,0.30851088
LM_normal,1,5,G1,run71_u0065004.log,19.67765179,34.0,7271.860497,0.478687,99.9934172692092,9.332315,9.438862e-07,99.99998988583005,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.96143085,2.03811399,-5.50155537,0.0,0.0,0.0,0.97146059,-2.09847947,0.97550514,0.0,0.0,0.03856915,0.03811399,9.49844463,0.0,0.0,0.0,-7.02853941,-2.09847947,0.97550514
LM_normal,1,5,G2,run72_u0065007.log,32.83414571,33.0,43421.663329,1.590226,99.99633771284174,59.07794,4.118481e-06,99.99999302873289,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-14.03845597,7.10227911,-47.41440712,0.0,0.0,0.0,7.86702193,-1.54021871,-0.51036476,0.0,0.0,-0.03845597,-0.89772089,-25.41440712,0.0,0.0,0.0,-4.43297826,-1.54021871,-0.51036476
