
################################################################################
Running scenario=G2 N_ANGLES=360, K=1
view   0 | SOD= 570.046 mm | SDD= 696.006 mm | M= 1.221 | incident=0.2470°
[[ 119.47323    -557.34204      -7.        ]
 [ -25.864782    123.32077      -7.        ]
 [   0.14616601    0.03186934    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1
0    proj_000.png  501.402023  210.910240    791
1    proj_001.png  498.818182  210.935606    792
2    proj_002.png  496.113636  210.946970    792
3    proj_003.png  493.452711  210.863808    793
4    proj_004.png  490.682161  210.893216    796
5    proj_005.png  488.078184  210.919294    793
6    proj_006.png  485.405270  210.836888    797
7    proj_007.png  482.604969  210.807453    805
8    proj_008.png  479.880952  210.844612    798
9    proj_009.png  477.273632  210.829602    804
10   proj_010.png  474.552927  210.825654    803
11   proj_011.png  471.783313  210.831880    803
12   proj_012.png  469.211970  210.855362    802
13   proj_013.png  466.449312  210.774718    799
14   proj_014.png  463.716958  210.867830    802
15   proj_015.png  461.119048  210.973684    798
16   proj_016.png  458.360902  210.855890    798
17   proj_017.png  455.694514  210.836658    802
18   proj_018.png  452.959900  210.979950    798
19   proj_019.png  450.282309  210.889586    797
20   proj_020.png  447.677500  210.867500    800
21   proj_021.png  445.000000  211.000000    793
22   proj_022.png  442.297365  210.918444    797
23   proj_023.png  439.698750  210.965000    800
24   proj_024.png  437.000000  211.000000    793
25   proj_025.png  434.455569  210.987484    799
26   proj_026.png  431.888748  211.001264    791
27   proj_027.png  429.198734  211.018987    790
28   proj_028.png  426.686473  211.104930    791
29   proj_029.png  424.150633  211.055696    790
30   proj_030.png  421.553459  211.196226    795
31   proj_031.png  419.132911  211.189873    790
32   proj_032.png  416.566583  211.250000    796
33   proj_033.png  414.094340  211.311950    795
34   proj_034.png  411.607547  211.285535    795
35   proj_035.png  409.113780  211.331226    791
36   proj_036.png  406.711950  211.377358    795
37   proj_037.png  404.386935  211.409548    796
38   proj_038.png  401.954257  211.490470    787
39   proj_039.png  399.583229  211.518148    799
40   proj_040.png  397.272956  211.562264    795
41   proj_041.png  394.944374  211.638432    791
42   proj_042.png  392.670455  211.670455    792
43   proj_043.png  390.378310  211.698613    793
44   proj_044.png  388.138501  211.836086    787
45   proj_045.png  385.984713  211.859873    785
46   proj_046.png  383.813688  211.887199    789
47   proj_047.png  381.733840  211.930292    789
48   proj_048.png  379.581957  211.984752    787
49   proj_049.png  377.466921  212.019084    786
50   proj_050.png  375.438931  212.076336    786
51   proj_051.png  373.417834  212.169427    785
52   proj_052.png  371.432741  212.281726    788
53   proj_053.png  369.470812  212.277919    788
54   proj_054.png  367.546954  212.402284    788
55   proj_055.png  365.669620  212.486076    790
56   proj_056.png  363.870844  212.494885    782
57   proj_057.png  362.043423  212.604087    783
58   proj_058.png  360.382653  212.655612    784
59   proj_059.png  358.590793  212.762148    782
60   proj_060.png  356.828165  212.825581    774
61   proj_061.png  355.198966  212.879845    774
62   proj_062.png  353.593590  212.955128    780
63   proj_063.png  352.000000  213.000000    775
64   proj_064.png  350.462532  213.052972    774
65   proj_065.png  348.948254  213.209573    773
66   proj_066.png  347.560881  213.138601    772
67   proj_067.png  346.019430  213.281088    772
68   proj_068.png  344.720416  213.347204    769
69   proj_069.png  343.308786  213.494832    774
70   proj_070.png  342.019455  213.583658    771
71   proj_071.png  340.885714  213.744156    770
72   proj_072.png  339.597386  213.870588    765
73   proj_073.png  338.374185  213.885267    767
74   proj_074.png  337.264323  213.919271    768
75   proj_075.png  336.180392  214.000000    765
76   proj_076.png  335.149020  214.067974    765
77   proj_077.png  334.143416  214.118644    767
78   proj_078.png  333.185621  214.213072    765
79   proj_079.png  332.236531  214.264126    761
80   proj_080.png  331.388962  214.356110    761
81   proj_081.png  330.738095  214.531746    756
82   proj_082.png  329.900393  214.629096    763
83   proj_083.png  329.149077  214.666227    758
84   proj_084.png  328.483487  214.834875    757
85   proj_085.png  327.848806  214.877984    754
86   proj_086.png  327.263926  214.958886    754
87   proj_087.png  326.668874  215.037086    755
88   proj_088.png  326.177719  215.151194    754
89   proj_089.png  325.811421  215.236388    753
90   proj_090.png  325.290837  215.304117    753
91   proj_091.png  324.982620  215.421123    748
92   proj_092.png  324.763369  215.529412    748
93   proj_093.png  324.379032  215.592742    744
94   proj_094.png  324.124332  215.708556    748
95   proj_095.png  323.931909  215.810414    749
96   proj_096.png  323.890374  215.864973    748
97   proj_097.png  323.833780  215.931635    746
98   proj_098.png  323.765101  216.038926    745
99   proj_099.png  323.745649  216.096386    747
100  proj_100.png  323.807796  216.282258    744
101  proj_101.png  323.925676  216.312162    740
102  proj_102.png  323.981107  216.392713    741
103  proj_103.png  324.182796  216.491935    744
104  proj_104.png  324.437926  216.506139    733
105  proj_105.png  324.718157  216.680217    738
106  proj_106.png  325.019074  216.814714    734
107  proj_107.png  325.367707  216.881954    737
108  proj_108.png  325.824087  217.000000    739
109  proj_109.png  326.264666  217.095498    733
110  proj_110.png  326.711934  217.204390    729
111  proj_111.png  327.320548  217.313699    730
112  proj_112.png  327.754821  217.319559    726
113  proj_113.png  328.480110  217.454047    729
114  proj_114.png  329.232044  217.500000    724
115  proj_115.png  329.807479  217.559557    722
116  proj_116.png  330.606398  217.643950    719
117  proj_117.png  331.473611  217.718056    720
118  proj_118.png  332.279391  217.821577    723
119  proj_119.png  333.205801  217.950276    724
120  proj_120.png  334.102493  218.022161    722
121  proj_121.png  335.016736  218.192469    717
122  proj_122.png  336.033520  218.223464    716
123  proj_123.png  337.140669  218.296657    718
124  proj_124.png  338.247552  218.355245    715
125  proj_125.png  339.322222  218.486111    720
126  proj_126.png  340.478382  218.545328    717
127  proj_127.png  341.708508  218.552301    717
128  proj_128.png  342.900568  218.610795    704
129  proj_129.png  344.272472  218.668539    712
130  proj_130.png  345.532578  218.811615    706
131  proj_131.png  346.953191  218.919149    705
132  proj_132.png  348.381560  218.944681    705
133  proj_133.png  349.710000  219.107143    700
134  proj_134.png  351.265625  219.190341    704
135  proj_135.png  352.677054  219.205382    706
136  proj_136.png  354.290550  219.332863    709
137  proj_137.png  355.782793  219.411848    709
138  proj_138.png  357.393512  219.451340    709
139  proj_139.png  359.146724  219.497151    702
140  proj_140.png  360.754237  219.584746    708
141  proj_141.png  362.505650  219.653955    708
142  proj_142.png  364.217021  219.695035    705
143  proj_143.png  365.834522  219.723252    701
144  proj_144.png  367.712057  219.743262    705
145  proj_145.png  369.554922  219.887304    701
146  proj_146.png  371.453372  219.995696    697
147  proj_147.png  373.424677  220.043042    697
148  proj_148.png  375.315638  220.094692    697
149  proj_149.png  377.228777  220.132374    695
150  proj_150.png  379.198561  220.197122    695
151  proj_151.png  381.148997  220.277937    698
152  proj_152.png  383.246418  220.316619    698
153  proj_153.png  385.290230  220.344828    696
154  proj_154.png  387.375540  220.389928    695
155  proj_155.png  389.435159  220.463977    694
156  proj_156.png  391.560694  220.530347    692
157  proj_157.png  393.758273  220.530935    695
158  proj_158.png  395.969697  220.588745    693
159  proj_159.png  398.077698  220.624460    695
160  proj_160.png  400.293276  220.708155    699
161  proj_161.png  402.531339  220.706553    702
162  proj_162.png  404.779685  220.753934    699
163  proj_163.png  407.028736  220.688218    696
164  proj_164.png  409.274286  220.808571    700
165  proj_165.png  411.500000  220.880682    704
166  proj_166.png  413.779685  220.918455    699
167  proj_167.png  416.220315  220.918455    699
168  proj_168.png  418.500000  221.000000    698
169  proj_169.png  420.898860  221.028490    702
170  proj_170.png  423.337607  221.089744    702
171  proj_171.png  425.636624  221.072961    699
172  proj_172.png  428.180775  221.142037    697
173  proj_173.png  430.549075  221.118065    703
174  proj_174.png  432.955903  221.224751    703
175  proj_175.png  435.390625  221.167614    704
176  proj_176.png  437.861032  221.273639    698
177  proj_177.png  440.345609  221.269122    706
178  proj_178.png  442.813390  221.313390    702
179  proj_179.png  445.326241  221.260993    705
180  proj_180.png  447.792319  221.317212    703
181  proj_181.png  450.370213  221.283688    705
182  proj_182.png  452.758865  221.309220    705
183  proj_183.png  455.386040  221.313390    702
184  proj_184.png  457.776204  221.321530    706
185  proj_185.png  460.426136  221.348011    704
186  proj_186.png  462.835694  221.339943    706
187  proj_187.png  465.502825  221.385593    708
188  proj_188.png  467.960452  221.395480    708
189  proj_189.png  470.538136  221.385593    708
190  proj_190.png  473.118980  221.378187    706
191  proj_191.png  475.619182  221.352609    709
192  proj_192.png  478.137589  221.388652    705
193  proj_193.png  480.662429  221.365819    708
194  proj_194.png  483.211566  221.389281    709
195  proj_195.png  485.707454  221.386779    711
196  proj_196.png  488.232068  221.388186    711
197  proj_197.png  490.750704  221.376056    710
198  proj_198.png  493.252113  221.381690    710
199  proj_199.png  495.771509  221.379408    709
200  proj_200.png  498.302260  221.317797    708
201  proj_201.png  500.764873  221.341360    706
202  proj_202.png  503.311174  221.257426    707
203  proj_203.png  505.754261  221.244318    704
204  proj_204.png  508.282270  221.228369    705
205  proj_205.png  510.666195  221.213579    707
206  proj_206.png  513.226819  221.219686    701
207  proj_207.png  515.559659  221.166193    704
208  proj_208.png  518.071225  221.160969    702
209  proj_209.png  520.500000  221.119318    704
210  proj_210.png  522.849432  221.080966    704
211  proj_211.png  525.331909  221.035613    702
212  proj_212.png  527.652857  221.000000    700
213  proj_213.png  530.012748  220.983003    706
214  proj_214.png  532.421875  220.860795    704
215  proj_215.png  534.672831  220.823613    703
216  proj_216.png  537.066291  220.812412    709
217  proj_217.png  539.391243  220.789548    708
218  proj_218.png  541.632768  220.764124    708
219  proj_219.png  543.830028  220.684136    706
220  proj_220.png  546.144681  220.614184    705
221  proj_221.png  548.350704  220.638028    710
222  proj_222.png  550.555400  220.600281    713
223  proj_223.png  552.696078  220.554622    714
224  proj_224.png  554.848656  220.502122    707
