lambda,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,3,6,G0,run00_u0065007.log,269.31099686,52,11632.342097,0.112023,99.99903696951941,83.1925,1.310713e-06,99.99999842448176,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.23288167,5.82342341,210.93872699,0.0,0.0,0.0,32.34697688,9.03181931,6.9371686,0.0,0.0,-0.23288167,0.82342341,229.93872699,0.0,0.0,0.0,22.34697688,9.03181931,6.9371686
LM_normal,1,3,6,G1,run01_u0065009.log,40.57406871,26,7954.291795,0.004407,99.99994459594751,26.32975,3.955169e-07,99.99999849783268,387600.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.7377914,-5.95494741,-37.78798703,0.0,0.0,0.0,15.11577988,3.02305733,-1.33998328,0.0,0.0,0.2622086,0.04505259,-25.78798703,0.0,0.0,0.0,10.11577988,3.02305733,-1.33998328
LM_normal,1,3,6,G2,run02_u0065014.log,252.01551687999998,50,42402.301458,0.87211,99.99794324843226,215.6833,3.569559e-06,99.99999834499982,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-18.15611115,-12.71652313,-219.56032838,0.0,0.0,0.0,-22.90969355,-11.94747158,-0.72538909,0.0,0.0,-3.15611115,-0.71652313,-197.56032838,0.0,0.0,0.0,-37.90969355,-11.94747158,-0.72538909
LM_normal,1,3,6,G3,run03_u0065022.log,152.60072693,53,57380.864707,158.886203,99.72310245965913,70.37522,6.093444e-05,99.99991341492077,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.6859293,-9.33213803,14.76739498,0.0,0.0,0.0,-52.76846385,-19.26661028,14.15204909,0.0,0.0,0.3140707,-1.33213803,39.76739498,0.0,0.0,0.0,-77.76846385,-19.26661028,14.15204909
LM_normal,1,3,6,G4,run04_u0065031.log,12.49297606,50,5043.194739,0.070612,99.99859985577288,8.916615,1.427336e-06,99.9999839924007,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.96667556,-2.04939279,-11.7298104,0.0,0.0,0.0,-3.1503069,-1.9016741,0.62846743,0.0,0.0,0.03332444,-0.04939279,-3.7298104,0.0,0.0,0.0,-6.1503069,-1.9016741,0.62846743
LM_normal,1,5,10,G0,run05_u0065034.log,37.986785239999996,40,19380.146692,0.150344,99.99922423703808,13.94854,1.423377e-06,99.99998979551265,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.03594918,5.12462835,13.98409357,0.0,0.0,0.0,12.83827017,1.13078449,0.87305948,0.0,0.0,-0.03594918,0.12462835,32.98409357,0.0,0.0,0.0,2.83827017,1.13078449,0.87305948
LM_normal,1,5,10,G1,run06_u0065046.log,69.7739297,35,13249.230354,13.5967,99.89737743524178,33.33412,1.095843e-05,99.99996712548582,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.76113653,-5.99229705,-0.82014899,0.0,0.0,0.0,-35.3756922,-10.21207488,7.75974519,0.0,0.0,0.23886347,0.00770295,11.17985101,0.0,0.0,0.0,-40.3756922,-10.21207488,7.75974519
LM_normal,1,5,10,G2,run07_u0065064.log,90.09543057,35,70568.086051,0.716564,99.99898457781683,72.28195,2.360104e-06,99.99999673486396,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-13.56140558,-11.70979507,59.79455296,0.0,0.0,0.0,17.7580237,1.30132164,2.51273292,0.0,0.0,1.43859442,0.29020493,81.79455296,0.0,0.0,0.0,2.7580237,1.30132164,2.51273292
LM_normal,1,5,10,G3,run08_u0065065.log,65.11985779,38,95258.478279,28.140855,99.97045842479493,20.97196,9.7477e-06,99.99995352031952,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.07523299,-9.06413607,9.02782739,0.0,0.0,0.0,3.80971662,-6.76154792,2.00083004,0.0,0.0,-0.07523299,-1.06413607,34.02782739,0.0,0.0,0.0,-21.19028338,-6.76154792,2.00083004
LM_normal,1,5,10,G4,run09_u0065078.log,34.07906275,43,8399.682316,2.958181,99.96478222760443,11.63185,6.974151e-06,99.99994004263294,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.72197076,-1.86795907,3.93499358,0.0,0.0,0.0,-11.99879396,-4.11472911,2.62047593,0.0,0.0,0.27802924,0.13204093,11.93499358,0.0,0.0,0.0,-14.99879396,-4.11472911,2.62047593
