Phantom already exists, skipping: cuboid_phantom_1_normal.npy

################################################################################
Running cuboid=normal scenario=G3 N_ANGLES=360, K=1
view   0 | SOD= 556.844 mm | SDD= 802.742 mm | M= 1.442 | incident=4.7367°
[[ 239.08467    -500.88773     -45.        ]
 [-110.79194     218.66446      20.        ]
 [   0.13558364    0.06322369    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1          y1  area1
0    proj_000.png  506.294964  124.372302   1112
1    proj_001.png  503.067568  124.299099   1110
2    proj_002.png  499.839893  124.296064   1118
3    proj_003.png  496.640681  124.327061   1116
4    proj_004.png  493.512613  124.347748   1110
5    proj_005.png  490.350090  124.277379   1114
6    proj_006.png  487.146078  124.267809   1109
7    proj_007.png  484.037940  124.241192   1107
8    proj_008.png  480.907040  124.178700   1108
9    proj_009.png  477.830922  124.230561   1106
10   proj_010.png  474.703167  124.181900   1105
11   proj_011.png  471.548825  124.172694   1106
12   proj_012.png  468.501805  124.147112   1108
13   proj_013.png  465.402715  124.108597   1105
14   proj_014.png  462.351499  124.080836   1101
15   proj_015.png  459.256781  124.050633   1106
16   proj_016.png  456.276423  124.013550   1107
17   proj_017.png  453.281588  124.029783   1108
18   proj_018.png  450.305957  124.000000   1108
19   proj_019.png  447.316170  123.986450   1107
20   proj_020.png  444.408348  123.920145   1102
21   proj_021.png  441.525933  123.888990   1099
22   proj_022.png  438.670290  123.878623   1104
23   proj_023.png  435.855323  123.858053   1099
24   proj_024.png  432.977231  123.827869   1098
25   proj_025.png  430.137273  123.750909   1100
26   proj_026.png  427.369801  123.625678   1106
27   proj_027.png  424.714932  123.571946   1105
28   proj_028.png  421.968153  123.537762   1099
29   proj_029.png  419.263397  123.459582   1101
30   proj_030.png  416.681199  123.361490   1101
31   proj_031.png  414.005479  123.294977   1095
32   proj_032.png  411.401089  123.274047   1102
33   proj_033.png  408.881603  123.146630   1098
34   proj_034.png  406.380909  123.110909   1100
35   proj_035.png  403.887375  123.057221   1101
36   proj_036.png  401.433911  123.039198   1097
37   proj_037.png  399.040219  122.984461   1094
38   proj_038.png  396.650273  122.931694   1098
39   proj_039.png  394.388332  122.879672   1097
40   proj_040.png  392.017383  122.851784   1093
41   proj_041.png  389.885321  122.785321   1090
42   proj_042.png  387.665451  122.648131   1097
43   proj_043.png  385.430137  122.673973   1095
44   proj_044.png  383.310440  122.464286   1092
45   proj_045.png  381.191529  122.309392   1086
46   proj_046.png  379.164055  122.267281   1085
47   proj_047.png  377.175439  122.192982   1083
48   proj_048.png  375.197040  122.172988   1081
49   proj_049.png  373.401292  122.079336   1084
50   proj_050.png  371.596491  121.990766   1083
51   proj_051.png  369.804267  121.916512   1078
52   proj_052.png  368.012127  121.848881   1072
53   proj_053.png  366.275255  121.831325   1079
54   proj_054.png  364.691381  121.701576   1079
55   proj_055.png  363.025234  121.615888   1070
56   proj_056.png  361.528195  121.485902   1064
57   proj_057.png  359.982226  121.368569   1069
58   proj_058.png  358.524482  121.278719   1062
59   proj_059.png  357.126747  121.184529   1073
60   proj_060.png  355.733396  121.078578   1069
61   proj_061.png  354.432864  121.026291   1065
62   proj_062.png  353.163873  120.905959   1074
