cuboid,K,N,scenario,M
coplanar,3,3,G0,27
coplanar,3,3,G1,27
coplanar,3,3,G2,27
coplanar,3,3,G3,27
coplanar,3,3,G4,27
coplanar,3,5,G0,45
coplanar,3,5,G1,45
coplanar,3,5,G2,45
coplanar,3,5,G3,45
coplanar,3,5,G4,45
coplanar,3,6,G0,54
coplanar,3,6,G1,54
coplanar,3,6,G2,54
coplanar,3,6,G3,54
coplanar,3,6,G4,54
coplanar,3,9,G0,81
coplanar,3,9,G1,81
coplanar,3,9,G2,81
coplanar,3,9,G3,81
coplanar,3,9,G4,81
coplanar,3,10,G0,90
coplanar,3,10,G1,90
coplanar,3,10,G2,90
coplanar,3,10,G3,90
coplanar,3,10,G4,90
coplanar,3,12,G0,108
coplanar,3,12,G1,108
coplanar,3,12,G2,108
coplanar,3,12,G3,108
coplanar,3,12,G4,108
coplanar,3,15,G0,135
coplanar,3,15,G1,135
coplanar,3,15,G2,135
coplanar,3,15,G3,135
coplanar,3,15,G4,135
coplanar,3,18,G0,162
coplanar,3,18,G1,162
coplanar,3,18,G2,162
coplanar,3,18,G3,162
coplanar,3,18,G4,162
coplanar,3,24,G0,216
coplanar,3,24,G1,216
coplanar,3,24,G2,216
coplanar,3,24,G3,216
coplanar,3,24,G4,216
coplanar,3,36,G0,324
coplanar,3,36,G1,324
coplanar,3,36,G2,324
coplanar,3,36,G3,324
coplanar,3,36,G4,324
coplanar,3,60,G0,540
coplanar,3,60,G1,540
coplanar,3,60,G2,540
coplanar,3,60,G3,540
coplanar,3,60,G4,540
coplanar,3,90,G0,810
coplanar,3,90,G1,810
coplanar,3,90,G2,810
coplanar,3,90,G3,810
coplanar,3,90,G4,810
coplanar,3,180,G0,1620
coplanar,3,180,G1,1620
coplanar,3,180,G2,1620
coplanar,3,180,G3,1620
coplanar,3,180,G4,1620
coplanar,3,360,G0,3240
coplanar,3,360,G1,3240
coplanar,3,360,G2,3240
coplanar,3,360,G3,3240
coplanar,3,360,G4,3240
normal,3,3,G0,27
normal,3,3,G1,27
normal,3,3,G2,27
normal,3,3,G3,27
normal,3,3,G4,27
normal,3,5,G0,45
normal,3,5,G1,45
normal,3,5,G2,45
normal,3,5,G3,45
normal,3,5,G4,45
normal,3,6,G0,54
normal,3,6,G1,54
normal,3,6,G2,54
normal,3,6,G3,54
normal,3,6,G4,54
normal,3,9,G0,81
normal,3,9,G1,81
normal,3,9,G2,81
normal,3,9,G3,81
normal,3,9,G4,81
normal,3,10,G0,90
normal,3,10,G1,90
normal,3,10,G2,90
normal,3,10,G3,90
normal,3,10,G4,90
normal,3,12,G0,108
normal,3,12,G1,108
normal,3,12,G2,108
normal,3,12,G3,108
normal,3,12,G4,108
normal,3,15,G0,135
normal,3,15,G1,135
normal,3,15,G2,135
normal,3,15,G3,135
normal,3,15,G4,135
normal,3,18,G0,162
normal,3,18,G1,162
normal,3,18,G2,162
normal,3,18,G3,162
normal,3,18,G4,162
normal,3,24,G0,216
normal,3,24,G1,216
normal,3,24,G2,216
normal,3,24,G3,216
normal,3,24,G4,216
normal,3,36,G0,324
normal,3,36,G1,324
normal,3,36,G2,324
normal,3,36,G3,324
normal,3,36,G4,324
normal,3,60,G0,540
normal,3,60,G1,540
normal,3,60,G2,540
normal,3,60,G3,540
normal,3,60,G4,540
normal,3,90,G0,810
normal,3,90,G1,810
normal,3,90,G2,810
normal,3,90,G3,810
normal,3,90,G4,810
normal,3,180,G0,1620
normal,3,180,G1,1620
normal,3,180,G2,1620
normal,3,180,G3,1620
normal,3,180,G4,1620
normal,3,360,G0,3240
normal,3,360,G1,3240
normal,3,360,G2,3240
normal,3,360,G3,3240
normal,3,360,G4,3240
