lambda,cuboid,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,normal,3,3,G0,run00_u0065007.log,0.0243087,12,34626.358554,0.034955,99.99989905089227,17.12577,0.01665857,99.90272805251968,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00290811,5.00137134,-19.0106692,0.0,0.0,0.0,10.00654701,-0.00192582,-0.00088722,0.0,0.0,-0.00290811,0.00137134,-0.0106692,0.0,0.0,0.0,0.00654701,-0.00192582,-0.00088722
GN,normal,3,3,G1,run01_u0065009.log,0.03896762,15,13730.98587,0.039923,99.99970924884506,13.12913,0.002032259,99.98452099263241,0.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.00288534,2.00108105,-15.02841796,0.0,0.0,0.0,8.00233707,0.00034822,0.00389798,0.0,0.0,-0.00288534,0.00108105,-0.02841796,0.0,0.0,0.0,0.00233707,0.00034822,0.00389798
GN,normal,3,3,G2,run02_u0065014.log,0.12222077,12,76380.162389,0.043998,99.99994239603764,30.08415,0.08073518,99.73163549576769,0.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-14.00203015,7.99501113,-21.90276339,0.0,0.0,0.0,12.29569742,0.00606879,-0.00759358,0.0,0.0,-0.00203015,-0.00498887,0.09723661,0.0,0.0,0.0,-0.00430277,0.00606879,-0.00759358
GN,normal,3,3,G3,run03_u0065017.log,0.07065448,14,32157.901912,0.065768,99.99979548417002,23.56316,0.05300612,99.77504664060339,0.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-8.00186998,6.00035287,-24.94756927,0.0,0.0,0.0,14.10635863,0.0084136,0.00122905,0.0,0.0,-0.00186998,0.00035287,0.05243073,0.0,0.0,0.0,0.00635825,0.0084136,0.00122905
GN,normal,3,3,G4,run04_u0065020.log,0.13593258,11,59387.058298,0.145162,99.99975556627291,16.72388,0.01793521,99.89275688416802,0.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-12.0013649,3.00590119,-13.11034861,0.0,0.0,0.0,3.28818766,-0.00131209,-0.0051935,0.0,0.0,-0.0013649,0.00590119,-0.11034861,0.0,0.0,0.0,-0.01181229,-0.00131209,-0.0051935
GN,normal,3,5,G0,run05_u0065031.log,0.06258197,11,57571.284605,0.099956,99.99982637872216,15.86493,0.02109461,99.86703622392282,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00000407,4.99407449,-18.95298185,0.0,0.0,0.0,10.0057989,-0.00050806,-0.00332728,0.0,0.0,-4.07e-06,-0.00592551,0.04701815,0.0,0.0,0.0,0.0057989,-0.00050806,-0.00332728
GN,normal,3,5,G1,run06_u0065034.log,0.03759295,12,22755.333334,0.10449,99.99954081094543,9.743465,0.005054385,99.94812538455263,0.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.00058688,1.99719918,-14.97211237,0.0,0.0,0.0,8.00117907,-0.00352142,-0.00161713,0.0,0.0,-0.00058688,-0.00280082,0.02788763,0.0,0.0,0.0,0.00117907,-0.00352142,-0.00161713
GN,normal,3,5,G2,run07_u0065047.log,0.01850375,13,127124.622412,0.175598,99.99986186940289,20.71177,0.005861749,99.97169846420658,0.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.99965637,7.99854424,-21.99980043,0.0,0.0,0.0,12.31083498,0.00454172,-0.00112828,0.0,0.0,0.00034363,-0.00145576,0.00019957,0.0,0.0,0.0,0.01083479,0.00454172,-0.00112828
GN,normal,3,5,G3,run08_u0065053.log,0.05342828,13,53420.546832,0.069683,99.99986955768121,21.22038,0.005191057,99.97553739848202,0.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.99554342,5.9976439,-25.02869804,0.0,0.0,0.0,14.08989797,-0.0011806,-0.00663455,0.0,0.0,0.00445658,-0.0023561,-0.02869804,0.0,0.0,0.0,-0.01010241,-0.0011806,-0.00663455
GN,normal,3,5,G4,run09_u0065064.log,0.0872558,14,98854.286311,0.127813,99.999870705657,17.79052,0.009970431,99.94395649480735,0.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-12.0007312,2.99722729,-12.93907215,0.0,0.0,0.0,3.28351714,-0.00350582,0.00283541,0.0,0.0,-0.0007312,-0.00277271,0.06092785,0.0,0.0,0.0,-0.01648281,-0.00350582,0.00283541
