lambda,cuboid,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,compact,3,3,G0,run0000_u0065007.log,0.25326587,42,30994.447477,0.037676,99.99987844274357,13.20109,5.342751e-07,99.99999595279556,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00167631,5.00821123,-19.18683897,0.0,0.0,0.0,9.94646674,-0.00084079,-0.00216531,0.0,0.0,-0.00167631,0.00821123,-0.18683897,0.0,0.0,0.0,-0.05353326,-0.00084079,-0.00216531
LM_normal,compact,3,3,G1,run0001_u0065009.log,0.5060758399999999,48,11260.490955,0.171029,99.9984811585864,6.474111,2.650973e-06,99.9999590527101,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-6.0085461,1.98696108,-14.54461987,0.0,0.0,0.0,8.02195062,0.0063385,-0.00082157,0.0,0.0,-0.0085461,-0.01303892,0.45538013,0.0,0.0,0.0,0.02195062,0.0063385,-0.00082157
LM_normal,compact,3,3,G2,run0002_u0065014.log,0.7289195,32,70709.221914,0.061654,99.99991280628136,20.9365,8.204775e-07,99.99999608111432,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-14.00503253,8.00456837,-22.44146501,0.0,0.0,0.0,12.02737257,-0.00348296,-0.00174301,0.0,0.0,-0.00503253,0.00456837,-0.44146501,0.0,0.0,0.0,-0.27262762,-0.00348296,-0.00174301
LM_normal,compact,3,3,G3,run0003_u0065020.log,0.9076757,34,25215.193575,0.419612,99.9983358763487,12.09447,4.208244e-06,99.99996520522188,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-8.00269491,5.98100454,-24.63145512,0.0,0.0,0.0,13.61526437,-0.01417533,0.01852911,0.0,0.0,-0.00269491,-0.01899546,0.36854488,0.0,0.0,0.0,-0.48473601,-0.01417533,0.01852911
LM_normal,compact,3,3,G4,run0004_u0065031.log,0.34944675000000003,52,58141.362476,0.181704,99.99968747894397,13.07396,1.165047e-06,99.9999910887979,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-12.00111429,2.98710356,-12.74298158,0.0,0.0,0.0,3.23713257,-0.00769344,0.00785678,0.0,0.0,-0.00111429,-0.01289644,0.25701842,0.0,0.0,0.0,-0.06286738,-0.00769344,0.00785678
LM_normal,compact,3,5,G0,run0005_u0065034.log,0.20657453,46,51653.216521,0.063511,99.99987704347517,11.87034,1.608282e-06,99.99998645125582,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.99541119,4.9928044,-18.81498308,0.0,0.0,0.0,10.00670258,-0.00244342,0.0006272,0.0,0.0,0.00458881,-0.0071956,0.18501692,0.0,0.0,0.0,0.00670258,-0.00244342,0.0006272
LM_normal,compact,3,5,G1,run0006_u0065037.log,0.33011551,44,18768.906619,0.352616,99.99812127575059,6.677033,2.971807e-06,99.99995549210256,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.99900284,1.99340452,-14.84560107,0.0,0.0,0.0,8.16339988,-0.00078715,0.00393691,0.0,0.0,0.00099716,-0.00659548,0.15439893,0.0,0.0,0.0,0.16339988,-0.00078715,0.00393691
LM_normal,compact,3,5,G2,run0007_u0065046.log,0.9783014299999999,40,117824.253782,0.506145,99.99957042375932,18.60965,1.509407e-06,99.99999188911667,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-14.00089071,7.99758885,-21.79605836,0.0,0.0,0.0,11.56038748,-0.02250063,0.00894459,0.0,0.0,-0.00089071,-0.00241115,0.20394164,0.0,0.0,0.0,-0.73961271,-0.02250063,0.00894459
LM_normal,compact,3,5,G3,run0008_u0065047.log,1.51579987,45,42073.617778,0.534295,99.9987300949426,10.3229,4.605909e-06,99.99995538163695,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-8.00363391,5.95424151,-23.85473887,0.0,0.0,0.0,13.78089334,-0.00148796,0.00055133,0.0,0.0,-0.00363391,-0.04575849,1.14526113,0.0,0.0,0.0,-0.31910705,-0.00148796,0.00055133
LM_normal,compact,3,5,G4,run0009_u0065053.log,14.39951506,28,96868.863932,50.150306,99.94822866299414,13.20847,1.538333e-05,99.99988353435334,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-12.02392184,2.37256906,0.53131525,0.0,0.0,0.0,3.46412307,0.03308913,-0.01963478,0.0,0.0,-0.02392184,-0.62743094,13.53131525,0.0,0.0,0.0,0.16412312,0.03308913,-0.01963478
