lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,coplanar,3,3,27,G0,run140_u0065092.log,195.20289686,9,478757.903802,450619.613417,5.877352658106123,124.0436,36.62626,70.47307559600011,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-0.30216792,-10.85911786,126.22111519,0.0,0.0,0.0,22.74048108,1.76797576,-9.91637489,0.0,0.0,9.69783208,-15.85911786,145.22111519,0.0,0.0,0.0,12.74048108,1.76797576,-9.91637489
GN,coplanar,3,3,27,G1,run141_u0065092.log,29.0,6,551586.950852,551586.950852,0.0,48.45022,48.45022,0.0,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,-5.0,0.0,0.0
GN,coplanar,3,3,27,G2,run142_u0065092.log,255.28035668,8,744807.943036,502868.179396,32.48351013199465,61.68439,126.172,-104.5444560609256,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-13.31435904,-15.86684557,200.93696187,0.0,0.0,0.0,28.4176006,10.81898082,2.55432686,0.0,0.0,1.68564096,-3.86684557,222.93696187,0.0,0.0,0.0,13.4176006,10.81898082,2.55432686
GN,coplanar,3,3,27,G3,run143_u0065064.log,76.0,6,571755.89849,571755.89849,0.0,57.72565,57.72565,0.0,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,25.0,0.0,0.0,0.0,-25.0,0.0,0.0
GN,coplanar,3,3,27,G4,run144_u0065092.log,20.0,6,508229.203438,508229.203438,0.0,17.24001,17.24001,0.0,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,-3.0,0.0,0.0
GN,coplanar,3,5,45,G0,run145_u0065004.log,216.25903128000002,9,1195963.158916,758576.479011,36.571919180306494,103.0964,60.21809,41.59050170520019,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-4.67876565,-9.93799039,141.20207822,0.0,0.0,0.0,19.46862257,9.89416831,16.43493744,0.0,0.0,5.32123435,-14.93799039,160.20207822,0.0,0.0,0.0,9.46862257,9.89416831,16.43493744
GN,coplanar,3,5,45,G1,run146_u0065064.log,176.26729288,8,1326778.501501,656369.541063,50.52907924567353,141.4954,47.79584,66.22092308301188,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-2.0679919,-17.83723191,137.03655913,0.0,0.0,0.0,13.78622865,-1.83135352,0.84391157,0.0,0.0,3.9320081,-11.83723191,149.03655913,0.0,0.0,0.0,8.78622865,-1.83135352,0.84391157
GN,coplanar,3,5,45,G2,run147_u0065092.log,390.41631951,10,1786257.046669,820919.554016,54.04247358761466,228.2607,34.21175,85.01198410414057,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-6.95298381,-27.61717393,312.89661469,0.0,0.0,0.0,23.20771428,4.23858339,19.40921703,0.0,0.0,8.04701619,-15.61717393,334.89661469,0.0,0.0,0.0,8.20771428,4.23858339,19.40921703
GN,coplanar,3,5,45,G3,run148_u0065004.log,211.57455008,9,1033078.226951,813995.061598,21.206832129217972,23.78702,14.73707,38.045749320427696,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-21.55912513,-12.84630922,148.81566676,0.0,0.0,0.0,22.95231309,-10.30339914,17.00236292,0.0,0.0,-3.55912513,-4.84630922,173.81566676,0.0,0.0,0.0,-2.04768691,-10.30339914,17.00236292
GN,coplanar,3,5,45,G4,run149_u0065064.log,82.6630064,7,1308582.602096,1070830.157781,18.168699777467925,50.6238,82.04498,-62.06799963653458,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-11.39469611,-14.27578433,46.45884098,0.0,0.0,0.0,5.23189102,-4.45952654,-4.84226742,0.0,0.0,-4.39469611,-12.27578433,54.45884098,0.0,0.0,0.0,2.23189102,-4.45952654,-4.84226742
GN,coplanar,3,6,54,G0,run150_u0065092.log,263.80091244,9,1105699.019584,782577.848518,29.223248401501596,109.1098,16.78775,84.6138935274375,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.58236313,-6.99780805,206.06682417,0.0,0.0,0.0,12.14370383,8.56374088,15.61119864,0.0,0.0,0.41763687,-11.99780805,225.06682417,0.0,0.0,0.0,2.14370383,8.56374088,15.61119864
GN,coplanar,3,6,54,G1,run151_u0065004.log,109.70949159,8,1259117.006485,1033892.153417,17.887523709710386,18.47346,24.58548,-33.08541009643024,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-11.38790374,-9.23245936,70.67913539,0.0,0.0,0.0,-2.42925745,4.32913917,6.65159648,0.0,0.0,-5.38790374,-3.23245936,82.67913539,0.0,0.0,0.0,-7.42925745,4.32913917,6.65159648
GN,coplanar,3,6,54,G2,run152_u0065064.log,215.58583539,8,1703169.611737,1038734.193837,39.01169991063701,157.8264,20.82448,86.80545206632097,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-9.77414305,-20.09272424,162.8985576,0.0,0.0,0.0,18.18464619,5.31700307,8.86704734,0.0,0.0,5.22585695,-8.09272424,184.8985576,0.0,0.0,0.0,3.18464619,5.31700307,8.86704734
GN,coplanar,3,6,54,G3,run153_u0065092.log,106.44427012,7,1595727.823289,841943.859637,47.237627410566446,57.84691,13.33255,76.95201005550686,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-12.22399701,-8.09153491,49.65924774,0.0,0.0,0.0,19.74155148,4.7528422,15.90619376,0.0,0.0,5.77600299,-0.09153491,74.65924774,0.0,0.0,0.0,-5.25844852,4.7528422,15.90619376
GN,coplanar,3,6,54,G4,run154_u0065004.log,177.42894710000002,9,1132434.940584,895859.393525,20.89087316018325,62.56602,15.25945,75.61064296562256,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-13.3247806,-8.01529745,130.39208375,0.0,0.0,0.0,0.26433931,5.61290809,18.34821652,0.0,0.0,-6.3247806,-6.01529745,138.39208375,0.0,0.0,0.0,-2.73566069,5.61290809,18.34821652
GN,coplanar,3,9,81,G0,run155_u0065064.log,220.93361549,11,1510314.717969,1269439.533247,15.948674925575618,33.87955,40.90716,-20.742926042406097,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-8.62333788,-7.76400773,164.85919452,0.0,0.0,0.0,8.35934902,3.12260843,18.17049171,0.0,0.0,1.37666212,-12.76400773,183.85919452,0.0,0.0,0.0,-1.64065098,3.12260843,18.17049171
