lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,small,3,3,27,G0,run70_u0065064.log,0.67442557,16,32187.23951,0.404236,99.99874411100127,14.30189,0.02599422,99.81824625976007,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00367548,4.97595118,-18.36483725,0.0,0.0,0.0,10.00394168,0.00562739,0.00196945,0.0,0.0,-0.00367548,-0.02404882,0.63516275,0.0,0.0,0.0,0.00394168,0.00562739,0.00196945
GN,small,3,3,27,G1,run71_u0065064.log,0.26902258,17,25973.684832,0.106302,99.9995907319247,21.00834,0.05987376,99.71500004284015,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.99419858,-5.98372831,-12.24204891,0.0,0.0,0.0,4.99943333,0.00034618,-0.00398771,0.0,0.0,0.00580142,0.01627169,-0.24204891,0.0,0.0,0.0,-0.00056667,0.00034618,-0.00398771
GN,small,3,3,27,G2,run72_u0065064.log,0.91816537,29,134218.196589,0.580277,99.99956766145371,82.74114,0.05419934,99.93449529460193,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.97415427,-12.02775352,-21.16624276,0.0,0.0,0.0,15.01333682,0.00877551,0.00869655,0.0,0.0,0.02584573,-0.02775352,0.83375724,0.0,0.0,0.0,0.01333682,0.00877551,0.00869655
GN,small,3,3,27,G3,run73_u0065080.log,1.9128797800000001,20,174715.792113,5.557263,99.99681925547038,27.67388,0.5422716,98.04049305699093,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.0106095,-8.13837126,-23.37196032,0.0,0.0,0.0,25.01888086,0.01355204,0.10342644,0.0,0.0,-0.0106095,-0.13837126,1.62803968,0.0,0.0,0.0,0.01888086,0.01355204,0.10342644
GN,small,3,3,27,G4,run74_u0065064.log,0.04529119,24,15520.320297,0.061864,99.99960139997877,8.228011,0.01775255,99.7842425101279,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00295818,-2.00137054,-7.98265969,0.0,0.0,0.0,2.97693485,-0.00048464,7.237e-05,0.0,0.0,-0.00295818,-0.00137054,0.01734031,0.0,0.0,0.0,-0.02306515,-0.00048464,7.237e-05
GN,small,3,5,45,G0,run75_u0065080.log,5.35614301,14,53537.468912,33.315871,99.93777092627452,14.5866,0.4439071,96.95674728860735,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.02076964,4.79283146,-14.37177332,0.0,0.0,0.0,9.55535761,0.03845366,0.0168821,0.0,0.0,-0.02076964,-0.20716854,4.62822668,0.0,0.0,0.0,-0.44464239,0.03845366,0.0168821
GN,small,3,5,45,G1,run76_u0065064.log,0.11154791,21,43290.402428,0.094035,99.99978278095207,11.1457,0.02333792,99.79061054935985,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00034997,-6.00156309,-11.91279443,0.0,0.0,0.0,5.01926705,-0.00037295,-0.00278928,0.0,0.0,-0.00034997,-0.00156309,0.08720557,0.0,0.0,0.0,0.01926705,-0.00037295,-0.00278928
GN,small,3,5,45,G2,run77_u0065078.log,0.30668159,26,223580.228144,0.148642,99.99993351737707,16.86654,0.03133901,99.81419419750583,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99564422,-12.01373321,-21.74615046,0.0,0.0,0.0,14.96824023,-0.00222129,0.000762,0.0,0.0,0.00435578,-0.01373321,0.25384954,0.0,0.0,0.0,-0.03175977,-0.00222129,0.000762
GN,small,3,5,45,G3,run78_u0065080.log,0.08328893,33,290146.931635,0.099711,99.99996563430831,35.01733,0.03106719,99.91128052881244,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.99707083,-7.99457931,-25.05703355,0.0,0.0,0.0,24.98767599,-0.00272003,-0.00286148,0.0,0.0,0.00292917,0.00542069,-0.05703355,0.0,0.0,0.0,-0.01232401,-0.00272003,-0.00286148
GN,small,3,5,45,G4,run79_u0065064.log,0.02310691,21,25881.232549,0.131785,99.99949080863999,5.207135,0.01771921,99.65971287473823,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00159169,-1.99832889,-7.99962775,0.0,0.0,0.0,3.01450208,0.00353637,-0.00143341,0.0,0.0,-0.00159169,0.00167111,0.00037225,0.0,0.0,0.0,0.01450208,0.00353637,-0.00143341
GN,small,3,6,54,G0,run80_u0065078.log,0.17599809,33,64380.268617,0.175705,99.99972708253044,13.75511,0.01252685,99.90892948147997,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.0023331,4.99308071,-18.85573312,0.0,0.0,0.0,10.01367322,0.00290035,0.00590525,0.0,0.0,-0.0023331,-0.00691929,0.14426688,0.0,0.0,0.0,0.01367322,0.00290035,0.00590525
GN,small,3,6,54,G1,run81_u0065080.log,0.09326651,16,51972.761866,0.119562,99.99976995257572,16.25325,0.05080694,99.68740442680694,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-5.99891632,-5.99826414,-12.05669191,0.0,0.0,0.0,4.96847164,-0.0002894,-0.0019373,0.0,0.0,0.00108368,0.00173586,-0.05669191,0.0,0.0,0.0,-0.03152836,-0.0002894,-0.0019373
GN,small,3,6,54,G2,run82_u0065064.log,10.742549579999999,16,268585.470152,217.789728,99.91891231946511,54.64713,0.9950997,98.17904490135163,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.85510628,-12.39352431,-13.11154149,0.0,0.0,0.0,13.7858655,-0.02145838,-0.08008016,0.0,0.0,0.14489372,-0.39352431,8.88845851,0.0,0.0,0.0,-1.2141345,-0.02145838,-0.08008016
GN,small,3,6,54,G3,run83_u0065078.log,0.39175897,24,349549.934941,0.499494,99.99985710367818,39.01699,0.007507637,99.98075803130892,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.99585367,-7.9671724,-25.33804101,0.0,0.0,0.0,25.00754399,-0.00515448,0.00404556,0.0,0.0,0.00414633,0.0328276,-0.33804101,0.0,0.0,0.0,0.00754399,-0.00515448,0.00404556
GN,small,3,6,54,G4,run84_u0065080.log,0.25550761,19,31045.249117,0.254917,99.99917888563549,8.849866,0.03852786,99.56465035741783,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.99922511,-2.01086213,-7.77955651,0.0,0.0,0.0,2.98648656,0.00328225,0.00663141,0.0,0.0,0.00077489,-0.01086213,0.22044349,0.0,0.0,0.0,-0.01351344,0.00328225,0.00663141
GN,small,3,9,81,G0,run85_u0065064.log,0.19558427,30,96330.691947,0.417159,99.9995669511019,15.61724,0.0631823,99.59543235552505,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.99881689,4.99446312,-18.81800812,0.0,0.0,0.0,10.00569179,-0.001121,-5.961e-05,0.0,0.0,0.00118311,-0.00553688,0.18199188,0.0,0.0,0.0,0.00569179,-0.001121,-5.961e-05
GN,small,3,9,81,G1,run86_u0065078.log,0.28539926,26,77912.117918,0.257818,99.9996690912699,8.403104,0.01592183,99.81052442049986,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.0029728,-6.0093451,-11.7474952,0.0,0.0,0.0,5.01086121,0.00401672,0.00569863,0.0,0.0,-0.0029728,-0.0093451,0.2525048,0.0,0.0,0.0,0.01086121,0.00401672,0.00569863
GN,small,3,9,81,G2,run87_u0065080.log,0.7193784599999999,23,402437.345963,1.456307,99.99963812826651,21.77789,0.04275397,99.8036817616399,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99061874,-12.0341001,-21.35561598,0.0,0.0,0.0,15.01899521,0.00531082,-0.00720705,0.0,0.0,0.00938126,-0.0341001,0.64438402,0.0,0.0,0.0,0.01899521,0.00531082,-0.00720705
GN,small,3,9,81,G3,run88_u0065080.log,3.54981552,19,522425.241537,38.079134,99.99271108457778,25.03353,0.1829179,99.26930840356913,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.03606756,-8.26365438,-21.87581989,0.0,0.0,0.0,24.91850117,0.0226759,0.02173874,0.0,0.0,-0.03606756,-0.26365438,3.12418011,0.0,0.0,0.0,-0.08149883,0.0226759,0.02173874
GN,small,3,9,81,G4,run89_u0065064.log,0.09267036000000001,30,46615.83633,0.270025,99.99942074406198,6.271725,0.02845828,99.54624477316847,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00195283,-2.00012605,-7.91663246,0.0,0.0,0.0,2.99842199,0.0025055,-0.00314043,0.0,0.0,-0.00195283,-0.00012605,0.08336754,0.0,0.0,0.0,-0.00157801,0.0025055,-0.00314043
GN,small,3,10,90,G0,run90_u0065078.log,0.12945792,29,107055.415848,0.278128,99.99974020184051,15.29935,0.01380324,99.90977891217601,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00036426,4.99904685,-18.91522231,0.0,0.0,0.0,10.03663111,0.00355501,0.0031767,0.0,0.0,-0.00036426,-0.00095315,0.08477769,0.0,0.0,0.0,0.03663111,0.00355501,0.0031767
GN,small,3,10,90,G1,run91_u0065080.log,0.21737847999999999,28,86572.536023,0.220451,99.99974535688784,9.530556,0.01536815,99.83874865222973,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00200096,-6.00911619,-11.8091682,0.0,0.0,0.0,5.01366671,0.00078202,-0.0009808,0.0,0.0,-0.00200096,-0.00911619,0.1908318,0.0,0.0,0.0,0.01366671,0.00078202,-0.0009808
GN,small,3,10,90,G2,run92_u0065064.log,0.15323652000000001,33,447256.937488,0.157446,99.99996479741579,17.9457,0.005875903,99.96725732069521,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99980908,-12.00511493,-21.87805129,0.0,0.0,0.0,14.97481005,-0.00051925,-0.00027276,0.0,0.0,0.00019092,-0.00511493,0.12194871,0.0,0.0,0.0,-0.02518995,-0.00051925,-0.00027276
GN,small,3,10,90,G3,run93_u0065078.log,0.37687297,24,580590.481302,0.704971,99.99987857689324,31.6424,0.007745698,99.97552114251764,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.99784007,-7.97217827,-25.33028831,0.0,0.0,0.0,24.99067722,-0.00253756,-0.00474266,0.0,0.0,0.00215993,0.02782173,-0.33028831,0.0,0.0,0.0,-0.00932278,-0.00253756,-0.00474266
GN,small,3,10,90,G4,run94_u0065080.log,0.0777023,24,51763.977353,0.266508,99.99948514775403,5.630712,0.02431232,99.56821943654727,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00301808,-2.00066487,-7.93787229,0.0,0.0,0.0,2.9931243,-0.00137537,0.00364057,0.0,0.0,-0.00301808,-0.00066487,0.06212771,0.0,0.0,0.0,-0.0068757,-0.00137537,0.00364057
GN,small,3,12,108,G0,run95_u0065064.log,0.0639154,39,128438.732985,0.274903,99.99978596565568,9.985837,0.01002294,99.8996284437649,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00270106,4.99601606,-18.94726766,0.0,0.0,0.0,9.99822068,0.00037308,0.00234566,0.0,0.0,-0.00270106,-0.00398394,0.05273234,0.0,0.0,0.0,-0.00177932,0.00037308,0.00234566
