file,scenario,projections,used,K,obj_x_cal,obj_y_cal,obj_z_cal,det_x_cal,det_y_cal,det_z_cal,init_src_x,init_src_y,init_src_z,init_obj_x,init_obj_y,init_obj_z,init_det_x,init_det_y,init_det_z,init_obj_rotY_deg,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,lambda,dSx,dSy,dSz,dOx,dOy,dOz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,src_x,src_y,src_z,obj_x,obj_y,obj_z,det_x,det_y,det_z,obj_rotY_deg_after_calib,final_estimated_theta_array
run00_u0065009.log,Scan1,1434,3,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,40,68330.240541,40448.280679,40.80471492745597,34.02402,0.000987401,99.99709792963911,1000000.0,0.0,0.0,0.0,-0.228,4.185,37.272,0.683,-0.635,0.0,0.0,0.0,5.085,0.0,24.997,0.0,0.313,24.185,637.272,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.22788848, 4.18479234, 37.27248468, 0.0, 0.0, 0.0, 5.08510522, 0.6831314, -0.63523703]"
run11_u0065083.log,Scan1,1434,4,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,35,87704.757332,33766.038174,61.50033453010866,18.67182,0.0008882015,99.99524309092526,1000000.0,0.0,0.0,0.0,-0.39,4.218,13.606,-1.457,1.027,0.0,0.0,0.0,30.142,0.0,24.997,0.0,0.151,24.218,613.606,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.38975111, 4.21794501, 13.60554736, 0.0, 0.0, 0.0, 30.14201746, -1.45690205, 1.02655377]"
run22_u0065031.log,Scan1,1434,5,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,42,88345.706953,20762.033345,76.49910328291853,17.53284,0.0006663915,99.99619918107962,1000000.0,0.0,0.0,0.0,-0.356,4.203,21.547,-1.346,2.262,0.0,0.0,0.0,36.784,0.0,24.997,0.0,0.184,24.203,621.547,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.35614912, 4.20268198, 21.54701695, 0.0, 0.0, 0.0, 36.7835603, -1.34647626, 2.26168513]"
run33_u0065096.log,Scan1,1434,6,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,40,89922.384685,15969.672994,82.24060332703354,16.98903,0.0005403669,99.99681931870153,1000000.0,0.0,0.0,0.0,-0.376,4.197,18.183,-1.315,2.509,0.0,0.0,0.0,28.847,0.0,24.997,0.0,0.164,24.197,618.183,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.37649136, 4.196965, 18.18290812, 0.0, 0.0, 0.0, 28.84685625, -1.31486274, 2.50933568]"
run44_u0065077.log,Scan1,1434,8,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,31,100223.881074,11407.807431,88.61767543947228,20.58417,0.0005631206,99.99726430261701,1000000.0,0.0,0.0,0.0,-0.356,4.18,15.975,-0.828,2.991,0.0,0.0,0.0,22.662,0.0,24.997,0.0,0.184,24.18,615.975,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.35627756, 4.17992481, 15.9750623, 0.0, 0.0, 0.0, 22.66179627, -0.82845067, 2.99087533]"
run55_u0065014.log,Scan1,1434,9,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,46,106043.210133,9774.536319,90.78249677019329,16.8151,0.0003887549,99.99768806073112,1000000.0,0.0,0.0,0.0,-0.396,4.197,16.113,-0.895,3.121,0.0,0.0,0.0,20.204,0.0,24.997,0.0,0.145,24.197,616.113,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.39586368, 4.19727049, 16.11294746, 0.0, 0.0, 0.0, 20.20415796, -0.89469062, 3.12055763]"
run66_u0065085.log,Scan1,1434,10,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,40,113183.55178,8681.682016,92.3295550639063,14.60049,0.0003036431,99.99792032253713,1000000.0,0.0,0.0,0.0,-0.39,4.201,17.31,-0.788,3.244,0.0,0.0,0.0,17.548,0.0,24.997,0.0,0.151,24.201,617.31,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.38976303, 4.20074625, 17.3096376, 0.0, 0.0, 0.0, 17.54844011, -0.78778144, 3.24375387]"
run77_u0065034.log,Scan1,1434,12,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,45,127854.347877,7023.441364,94.50668555225296,13.6441,0.000586277,99.9957030731232,1000000.0,0.0,0.0,0.0,-0.401,4.201,16.856,-0.667,3.354,0.0,0.0,0.0,15.188,0.0,24.997,0.0,0.139,24.201,616.856,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.40123543, 4.20126595, 16.85602084, 0.0, 0.0, 0.0, 15.1880264, -0.66729315, 3.35412063]"
run88_u0065098.log,Scan1,1434,15,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,31,151853.220923,5551.478756,96.34418109655047,15.63098,0.000260693,99.99833220309922,1000000.0,0.0,0.0,0.0,-0.395,4.195,15.633,-0.514,3.486,0.0,0.0,0.0,11.89,0.0,24.997,0.0,0.145,24.195,615.633,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.39508565, 4.19525017, 15.63281799, 0.0, 0.0, 0.0, 11.89023194, -0.5136756, 3.48621787]"
run99_u0065081.log,Scan1,1434,18,5,0.0,0.0,0.0,25.318,6.31,40.001,0.0,24.997,0.0,0.541,20.0,600.0,-25.318,18.687,1059.0,-1.04,45,177181.046647,4699.665702,97.34753474429847,14.52575,0.0001155955,99.99920420288109,1000000.0,0.0,0.0,0.0,-0.408,4.197,15.755,-0.433,3.479,0.0,0.0,0.0,9.441,0.0,24.997,0.0,0.132,24.197,615.755,0.0,24.997,1099.001,-1.04,"[0.0, 0.0, -0.40822195, 4.19677142, 15.75463403, 0.0, 0.0, 0.0, 9.44072529, -0.4325565, 3.47875746]"
