K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
1,3,2.291,0.000000,0.000000,14,1.128,0.000000,0.011788,26,-0.217,0.000000,0.000000,14,-1.356,0.000000,0.000000,11,5.434,0.000000,0.015829,22
2,3,8.757,0.000005,6.426198,31,-0.264,0.000001,0.010669,27,-0.142,0.000000,0.000000,7,-0.056,0.000000,0.003414,29,0.195,0.000000,0.000000,10
3,3,0.072,0.000001,0.002729,27,12.544,0.000022,41.796299,27,0.037,0.000000,0.000000,20,0.162,0.000000,0.000000,28,0.080,0.000000,0.000000,7
4,3,-0.083,0.000001,0.003690,51,-0.088,0.000001,0.002725,50,2.133,0.000097,356.630045,24,21.523,0.000013,96.110657,36,0.017,0.000000,0.000000,9
5,3,0.095,0.000001,0.021296,38,0.209,0.000001,0.015920,31,-0.701,0.000142,454.003691,34,4.120,0.000128,553.516162,26,-0.261,0.000000,0.008905,32
6,3,8.459,0.000091,281.710267,46,5.162,0.000028,146.102219,31,12.274,0.000073,423.770695,32,7.772,0.000090,655.977013,32,0.050,0.000000,0.010444,34
7,3,0.100,0.000000,0.017478,35,0.001,0.000000,0.030930,42,3.848,0.000146,761.193907,27,7.997,0.000085,709.514387,32,0.029,0.000000,0.000000,25
1,4,0.546,0.000000,0.003150,29,0.452,0.000001,0.001297,25,4.392,0.000001,0.087882,19,-0.358,0.000000,0.004339,29,3.568,0.000001,0.009327,23
2,4,0.044,0.000000,0.000000,13,0.078,0.000000,0.003710,29,5.370,0.000003,2.837785,22,0.119,0.000001,0.002229,25,0.009,0.000001,0.013377,20
3,4,0.123,0.000001,0.004250,34,10.347,0.000004,38.476879,32,0.030,0.000000,0.015992,35,0.051,0.000001,0.016812,44,0.123,0.000000,0.000000,21
4,4,0.015,0.000001,0.001686,37,8.048,0.000022,101.901631,27,16.265,0.000048,223.877862,36,18.206,0.000044,187.546159,39,-0.052,0.000000,0.000000,22
